feature,importance
field_size,0.2409751858656854
runs_since_place,0.09660142681456763
distance_fit_score,0.0919071064046594
or_vs_field,0.0727804148274862
going_fit_score,0.06049628346389579
wgt_lbs,0.053876500418114176
quiet_run_score,0.052024417970128065
trainer_timing_score,0.03575556167392593
draw_num,0.035399872264427604
course_fit_score,0.035052052504188934
mark_compression_score,0.0313086818496156
or_num,0.0310039677666612
age_num,0.027930169845978518
setup_run_flag,0.0232324442350058
curr_or_minus_last_win_or,0.01980982422146353
runs_since_win,0.01802799912101788
draw_pct,0.017210838527630345
class_num,0.014824733844567076
curr_or_minus_best_or,0.013604491945268153
dist_f,0.012130249704173571
release_window_score,0.006267413353816436
jockey_switch_intent,0.003981259300172067
going_code,0.0034227000881365452
is_aw,0.0012404513818903302
cash_run_flag,0.0011359526075239998
