race_id,horse,improvement_score,market_deception_score,place_prob,verdict_flags
rp_KEL_20260524_4.12,Dunkerque,0.0872,0.0717,0.771,"['policy:current', 'profile:SQPE_IMPROVEMENT_MDS_V1', 'g_threshold:0.60', 'g_lay_the_story_weak:0.00x', 'g_shadow_tracking_weak:0.06x', 'g_shadow:applied_not_live', 'mode:FULL_MINUS_DEAD', 'field_killed:improvement_score']"
rp_KEL_20260524_4.47,Defying Gravity,0.0872,0.0768,0.8626,"['policy:current', 'profile:SQPE_IMPROVEMENT_MDS_V1', 'g_threshold:0.60', 'g_lay_the_story_weak:0.00x', 'g_shadow_tracking_weak:0.06x', 'g_shadow:applied_not_live', 'mode:FULL_MINUS_DEAD', 'field_killed:improvement_score']"
rp_KEL_20260524_5.22,Double Digits,0.0872,0.053,0.5651,"['policy:current', 'profile:SQPE_IMPROVEMENT_MDS_V1', 'g_threshold:0.60', 'g_lay_the_story_weak:0.00x', 'g_shadow_tracking_weak:0.06x', 'g_shadow:applied_not_live', 'mode:FULL_MINUS_DEAD', 'field_killed:improvement_score']"
rp_KEL_20260524_5.57,Susie Q,0.0872,0.0109,0.3836,"['policy:current', 'profile:SQPE_IMPROVEMENT_MDS_V1', 'g_threshold:0.60', 'g_lay_the_story_weak:0.00x', 'g_shadow_tracking_weak:0.06x', 'g_shadow:applied_not_live', 'mode:FULL_MINUS_DEAD', 'field_killed:improvement_score']"
rp_UTT_20260524_2.22,Davita Blaze,0.0872,0.011,0.3382,"['policy:current', 'profile:SQPE_IMPROVEMENT_MDS_V1', 'g_threshold:0.60', 'g_lay_the_story_weak:0.00x', 'g_shadow_tracking_weak:0.06x', 'g_shadow:applied_not_live', 'mode:FULL_MINUS_DEAD', 'field_killed:improvement_score']"
rp_UTT_20260524_2.52,Galway Reel,0.0872,0.134,0.9119,"['policy:current', 'profile:SQPE_IMPROVEMENT_MDS_V1', 'g_threshold:0.60', 'g_lay_the_story_weak:0.00x', 'g_shadow_tracking_weak:0.06x', 'g_shadow:applied_not_live', 'mode:FULL_MINUS_DEAD', 'field_killed:improvement_score']"
rp_UTT_20260524_3.28,Sir Galahad,0.0872,0.0229,0.3927,"['policy:current', 'profile:SQPE_IMPROVEMENT_MDS_V1', 'g_threshold:0.60', 'g_lay_the_story_weak:0.00x', 'g_shadow_tracking_weak:0.06x', 'g_shadow:applied_not_live', 'mode:FULL_MINUS_DEAD', 'field_killed:improvement_score']"
rp_UTT_20260524_4.03,American Mike,0.0872,0.1258,0.7313,"['policy:current', 'profile:SQPE_IMPROVEMENT_MDS_V1', 'g_threshold:0.60', 'g_lay_the_story_weak:0.00x', 'g_shadow_tracking_weak:0.06x', 'g_shadow:applied_not_live', 'mode:FULL_MINUS_DEAD', 'field_killed:improvement_score']"
rp_UTT_20260524_4.37,Telhimlisten,0.0872,0.1094,0.7261,"['policy:current', 'profile:SQPE_IMPROVEMENT_MDS_V1', 'g_threshold:0.60', 'g_lay_the_story_weak:0.00x', 'g_shadow_tracking_weak:0.06x', 'g_shadow:applied_not_live', 'mode:FULL_MINUS_DEAD', 'field_killed:improvement_score']"
rp_UTT_20260524_5.12,Scottish King,0.0872,0.0356,0.5192,"['policy:current', 'profile:SQPE_IMPROVEMENT_MDS_V1', 'g_threshold:0.60', 'g_lay_the_story_weak:0.00x', 'g_shadow_tracking_weak:0.06x', 'g_shadow:applied_not_live', 'mode:FULL_MINUS_DEAD', 'field_killed:improvement_score']"
rp_UTT_20260524_5.47,Blinded By Grace,0.0872,0.0302,0.6288,"['policy:current', 'profile:SQPE_IMPROVEMENT_MDS_V1', 'g_threshold:0.60', 'g_lay_the_story_weak:0.00x', 'g_shadow_tracking_weak:0.06x', 'g_shadow:applied_not_live', 'mode:FULL_MINUS_DEAD', 'field_killed:improvement_score']"
