course,off_time,race_id,horse,tier,vp,mds,improvement,place_prob,assigned_product,outcome,position,sp_dec,pnl,winner,winner_sp_dec,miss_class
SAL,7.15,rp_SAL_20260523_7.15,Oxted,X,0.1456,0.0105,0.0872,0.231,PASS,MISS,,,-1.0,Almeraq,4.5,mid_priced_won
SAL,7.45,rp_SAL_20260523_7.45,Mojito,B,0.443,0.0164,0.0872,0.3545,VISION_ONLY,MISS,,,-1.0,Starlight Sami,6.5,mid_priced_won
SAL,8.15,rp_SAL_20260523_8.15,Bnaider,B,0.1827,0.053,0.0872,0.378,VISION_ONLY,MISS,,,-1.0,Mayaada,4.33,mid_priced_won
SAL,8.45,rp_SAL_20260523_8.45,Masterinthewoods,C,0.1482,0.0208,0.0872,0.4056,PASS,WIN,1,6.0,5.0,Masterinthewoods,6.0,
WDR,4.57,rp_WDR_20260523_4.57,Moonhall Lass,X,0.0852,0.0331,0.0872,0.4298,PASS,MISS,,,-1.0,Distant Rumble,4.5,mid_priced_won
WDR,5.30,rp_WDR_20260523_5.30,Greek Street,C,0.1083,0.0392,0.0872,0.2434,PASS,MISS,,,-1.0,Agitator,5.5,mid_priced_won
WDR,6.00,rp_WDR_20260523_6.00,Satellite Of Love,X,0.0994,0.0256,0.0872,0.1715,PASS,WIN,1,7.5,6.5,Satellite Of Love,7.5,
WDR,6.30,rp_WDR_20260523_6.30,Legacy Rock,C,0.1317,0.0402,0.0872,0.5421,PASS,WIN,1,3.25,2.25,Legacy Rock,3.25,
WDR,7.00,rp_WDR_20260523_7.00,Sargent Dennis,X,0.0973,0.0197,0.0872,0.3566,VISION_ONLY,MISS,,,-1.0,Bintola,21.0,outsider_won
WDR,7.30,rp_WDR_20260523_7.30,Galactic Glow,X,0.0841,0.026,0.0872,0.4156,PASS,PLACED,3,7.0,-1.0,Pride Of Nepal,17.0,
WDR,8.00,rp_WDR_20260523_8.00,Valkyrie Storm,B,0.1746,0.0403,0.0872,0.6635,PASS,MISS,,,-1.0,Lady Dora Mae,4.5,mid_priced_won
WDR,8.30,rp_WDR_20260523_8.30,Darkest Red,C,0.3251,0.0201,0.0872,0.3799,PASS,PLACED,2,6.5,-1.0,Darn Hot Dame,9.0,
YOR,1.30,rp_YOR_20260523_1.30,Jonny Concrete,X,0.0548,0.0091,0.0872,0.4454,PASS,MISS,4,5.5,-1.0,Lord Roxby,11.0,outsider_won
YOR,2.05,rp_YOR_20260523_2.05,Cuban Heels,B,0.274,0.1258,0.0872,0.5564,PASS,MISS,,,-1.0,Possessive,6.0,mid_priced_won
YOR,2.40,rp_YOR_20260523_2.40,Fortification,X,0.0529,0.0072,0.0872,0.4454,PASS,MISS,4,6.0,-1.0,Partisan Hero,29.0,outsider_won
YOR,3.15,rp_YOR_20260523_3.15,Danielle,A,0.3659,0.1667,0.0872,0.8507,VISION_ONLY,WIN,1,1.5,0.5,Danielle,1.5,
YOR,3.50,rp_YOR_20260523_3.50,Reliable Ricki,X,0.0971,0.0254,0.0872,0.3921,PASS,WIN,1,5.5,4.5,Reliable Ricki,5.5,
YOR,4.25,rp_YOR_20260523_4.25,Bridge Of Eagles,C,0.1441,0.0402,0.0872,0.5421,PASS,MISS,,,-1.0,Pearl River,8.0,outsider_won
YOR,5.00,rp_YOR_20260523_5.00,Documenting,X,0.0868,0.0024,0.0872,0.3689,VISION_ONLY,MISS,,,-1.0,Golden Strike,12.0,outsider_won
