feature,importance
rpr_vs_field,0.4094604866034623
rpr_num,0.12017557729455193
sp_dec,0.07272536394762683
or_num,0.06536091536919715
implied_prob,0.06432834227673594
log_sp,0.05023830836258113
or_vs_field,0.03957913110720633
ts_num,0.038905487977911886
field_size,0.02890293627503999
sp_rank,0.028276514606655905
class_num,0.023681783675524436
wgt_lbs,0.023576728412770358
is_fav,0.013391347598432097
draw_pct,0.006246459414333519
dist_f,0.004310371971588038
draw_num,0.0038962224596871624
age_num,0.0037479763318282715
is_aw,0.0016357921795946437
going_code,0.001560254135271987
