feature,importance
field_size,0.1504898718199965
or_vs_field,0.10876544796375097
distance_fit_score,0.08421326007548029
going_fit_score,0.0833262065989668
trainer_timing_score,0.07065696618536259
mark_compression_score,0.04998139837151281
or_num,0.04760200318220132
runs_since_place,0.04738880925955089
wgt_lbs,0.04442412346763396
quiet_run_score,0.03415915256211368
course_fit_score,0.03321897675705423
draw_pct,0.029877227278259123
curr_or_minus_last_win_or,0.0283149950694232
class_num,0.02812087773218339
curr_or_minus_best_or,0.026577974462581658
draw_num,0.02393894673422081
dist_f,0.023778335562148895
age_num,0.02278950998635558
runs_since_win,0.021557800457004433
setup_run_flag,0.011665854689810943
going_code,0.010094717972674966
release_window_score,0.007726670154701971
jockey_switch_intent,0.0073615124229063356
is_aw,0.002704361888280352
cash_run_flag,0.0012649993458242316
