feature,importance
field_size,0.24348484003031284
distance_fit_score,0.10925165980414912
or_vs_field,0.0965966561653147
going_fit_score,0.07689503767441393
trainer_timing_score,0.06834356942911698
runs_since_place,0.06558834173495989
quiet_run_score,0.046897246795330035
wgt_lbs,0.04293569454018588
or_num,0.03952875581627061
class_num,0.02999820288897476
course_fit_score,0.029135367305628615
draw_num,0.02753486573979362
mark_compression_score,0.02308352126664213
age_num,0.017262809453980576
setup_run_flag,0.016293518496167888
runs_since_win,0.015371141479839836
curr_or_minus_best_or,0.011881600525937052
draw_pct,0.011571030658891444
dist_f,0.009762688674104208
curr_or_minus_last_win_or,0.00789547795298543
going_code,0.003013931464119607
jockey_switch_intent,0.002938894235348061
release_window_score,0.0029366373362152373
is_aw,0.001078960783031746
cash_run_flag,0.0007195497482857501
