model,scope,scope_value,log_loss,brier,top1,top3,ece,market_rank_lift,n_races,n_runners
market_only,split,train,1.934314612330693,0.07214747503483435,0.32264150943396225,0.629245283018868,0.004121862490935532,0.0,1060,11757
market_only,split,validation,1.9994964101201087,0.07327656358237467,0.30975143403441685,0.5965583173996176,0.009148341049725388,0.0,523,5804
market_only,split,test,1.72522944388281,0.0854828821497236,0.35964912280701755,0.6929824561403509,0.01758033316522976,0.0,114,1014
market_only,jurisdiction,FR,1.6292902317692781,0.09162854773051476,0.36904761904761907,0.7380952380952381,0.026968478843623234,0.0,84,683
market_only,jurisdiction,HK,2.0043041687607603,0.07303520989968713,0.3448275862068966,0.5517241379310345,0.029204215122047496,0.0,29,319
market_only,jurisdiction,JPN,1.6909562399589053,0.06659270348982929,0.0,1.0,0.1359428061023471,0.0,1,12
market_only,year,2023,1.6516495873982144,0.0897932195065253,0.3404255319148936,0.7659574468085106,0.02520323790537292,0.0,47,397
market_only,year,2024,1.868712734226556,0.08888128317217149,0.3170731707317073,0.5853658536585366,0.02547056625726348,0.0,41,373
market_only,year,2025,1.6319770727552103,0.07327465464143125,0.46153846153846156,0.7307692307692307,0.027429739047059663,0.0,26,244
ratings_only,split,train,1.2498910468583977,0.05193151385690933,0.6169811320754717,0.8820754716981132,0.03754968828313358,1.4462264150943396,1060,11757
ratings_only,split,validation,1.323839788633417,0.05598527416693722,0.5850860420650096,0.8680688336520076,0.038594208357768084,1.6692160611854685,523,5804
ratings_only,split,test,1.5012372538137526,0.07455078044477137,0.4649122807017544,0.7807017543859649,0.03931808635790498,0.39473684210526316,114,1014
ratings_only,jurisdiction,FR,1.5313020448589818,0.08306184594963974,0.4523809523809524,0.7619047619047619,0.04509701023333604,0.21428571428571427,84,683
ratings_only,jurisdiction,HK,1.3843229492591465,0.05623418334878247,0.5172413793103449,0.8620689655172413,0.04638470746886245,1.103448275862069,29,319
ratings_only,jurisdiction,JPN,2.3663096380980844,0.07704550826105219,0.0,0.0,0.05251014098741864,-5.0,1,12
ratings_only,year,2023,1.37435447222096,0.07846252493857447,0.46808510638297873,0.7659574468085106,0.04414910778685767,0.2765957446808511,47,397
ratings_only,year,2024,1.7210290670622674,0.07518432364171575,0.4878048780487805,0.7804878048780488,0.047824849455000956,0.7073170731707317,41,373
ratings_only,year,2025,1.3840074996472969,0.06721768955747595,0.4230769230769231,0.8076923076923077,0.03228763421731105,0.11538461538461539,26,244
doctrine_only,split,train,2.1073542815131137,0.07523774405919288,0.2962264150943396,0.5254716981132076,0.019865741165944098,-0.7830188679245284,1060,11757
doctrine_only,split,validation,2.2212854806051663,0.07841675191826201,0.1931166347992352,0.4588910133843212,0.003894025394464064,-1.005736137667304,523,5804
doctrine_only,split,test,2.1072326953005813,0.09788593536631458,0.13157894736842105,0.39473684210526316,0.004983945063118417,-1.9035087719298245,114,1014
doctrine_only,jurisdiction,FR,2.037132721904253,0.10600980080410664,0.10714285714285714,0.38095238095238093,0.00260138627254051,-1.9761904761904763,84,683
doctrine_only,jurisdiction,HK,2.297257654293829,0.08130087098925239,0.1724137931034483,0.41379310344827586,0.014507776306754837,-1.8275862068965518,29,319
doctrine_only,jurisdiction,JPN,2.4849066497880004,0.07638888888888888,1.0,1.0,2.7755575615628914e-17,2.0,1,12
doctrine_only,year,2023,2.044897633853319,0.10168831536122837,0.1276595744680851,0.3829787234042553,0.012480174797285418,-2.0851063829787235,47,397
doctrine_only,year,2024,2.1479792572666345,0.09670519570856066,0.14634146341463414,0.43902439024390244,0.004596639373148357,-1.6341463414634145,41,373
doctrine_only,year,2025,2.1556611125087803,0.09350425927763202,0.11538461538461539,0.34615384615384615,0.012311135135221783,-2.0,26,244
market_plus_ratings,split,train,1.350209884158564,0.056689858091502225,0.5339622641509434,0.8556603773584905,0.022708962392029505,1.308490566037736,1060,11757
market_plus_ratings,split,validation,1.5045871591209012,0.061354054302518016,0.4646271510516252,0.7839388145315488,0.01464823261964269,1.1969407265774379,523,5804
