model,scope,scope_value,log_loss,brier,top1,top3,ece,market_rank_lift,n_races,n_runners
market_only_baseline,split,train,1.934314612330693,0.07214747503483435,0.32264150943396225,0.629245283018868,0.004121862490935532,0.0,1060,11757
market_only_baseline,split,validation,1.9994964101201087,0.07327656358237467,0.30975143403441685,0.5965583173996176,0.009148341049725388,0.0,523,5804
market_only_baseline,split,test,1.72522944388281,0.0854828821497236,0.35964912280701755,0.6929824561403509,0.01758033316522976,0.0,114,1014
market_only_baseline,jurisdiction,FR,1.6292902317692781,0.09162854773051476,0.36904761904761907,0.7380952380952381,0.026968478843623234,0.0,84,683
market_only_baseline,jurisdiction,HK,2.0043041687607603,0.07303520989968713,0.3448275862068966,0.5517241379310345,0.029204215122047496,0.0,29,319
market_only_baseline,jurisdiction,JPN,1.6909562399589053,0.06659270348982929,0.0,1.0,0.1359428061023471,0.0,1,12
market_only_baseline,year,2023,1.6516495873982144,0.0897932195065253,0.3404255319148936,0.7659574468085106,0.02520323790537292,0.0,47,397
market_only_baseline,year,2024,1.868712734226556,0.08888128317217149,0.3170731707317073,0.5853658536585366,0.02547056625726348,0.0,41,373
market_only_baseline,year,2025,1.6319770727552103,0.07327465464143125,0.46153846153846156,0.7307692307692307,0.027429739047059663,0.0,26,244
market_plus_ratings_baseline,split,train,1.350209884158564,0.056689858091502225,0.5339622641509434,0.8556603773584905,0.022708962392029505,1.308490566037736,1060,11757
market_plus_ratings_baseline,split,validation,1.5045871591209012,0.061354054302518016,0.4646271510516252,0.7839388145315488,0.01464823261964269,1.1969407265774379,523,5804
market_plus_ratings_baseline,split,test,1.4816467492541938,0.0766130183864493,0.42105263157894735,0.7894736842105263,0.020558192369501044,0.47368421052631576,114,1014
market_plus_ratings_baseline,jurisdiction,FR,1.4071985016178554,0.08365304835661198,0.4166666666666667,0.8095238095238095,0.02828889947639384,0.35714285714285715,84,683
market_plus_ratings_baseline,jurisdiction,HK,1.6844239723440373,0.06178573052988644,0.4482758620689655,0.7586206896551724,0.0100408865484807,0.8620689655172413,29,319
market_plus_ratings_baseline,jurisdiction,JPN,1.85476008110119,0.07007671477165187,0.0,0.0,0.05864683230410975,-1.0,1,12
market_plus_ratings_baseline,year,2023,1.3269716475294713,0.07823584259589002,0.3829787234042553,0.8723404255319149,0.029692250301796667,0.40425531914893614,47,397
market_plus_ratings_baseline,year,2024,1.6407571642944296,0.08341746712027608,0.4146341463414634,0.7073170731707317,0.022829636384021273,0.6097560975609756,41,373
market_plus_ratings_baseline,year,2025,1.5103468555777448,0.06357072089109941,0.5,0.7692307692307693,0.033020704609661514,0.38461538461538464,26,244
doctrine_only_baseline,split,train,2.1073542815131137,0.07523774405919288,0.2962264150943396,0.5254716981132076,0.019865741165944098,-0.7830188679245284,1060,11757
doctrine_only_baseline,split,validation,2.2212854806051663,0.07841675191826201,0.1931166347992352,0.4588910133843212,0.003894025394464064,-1.005736137667304,523,5804
doctrine_only_baseline,split,test,2.1072326953005813,0.09788593536631458,0.13157894736842105,0.39473684210526316,0.004983945063118417,-1.9035087719298245,114,1014
doctrine_only_baseline,jurisdiction,FR,2.037132721904253,0.10600980080410664,0.10714285714285714,0.38095238095238093,0.00260138627254051,-1.9761904761904763,84,683
doctrine_only_baseline,jurisdiction,HK,2.297257654293829,0.08130087098925239,0.1724137931034483,0.41379310344827586,0.014507776306754837,-1.8275862068965518,29,319
doctrine_only_baseline,jurisdiction,JPN,2.4849066497880004,0.07638888888888888,1.0,1.0,2.7755575615628914e-17,2.0,1,12
doctrine_only_baseline,year,2023,2.044897633853319,0.10168831536122837,0.1276595744680851,0.3829787234042553,0.012480174797285418,-2.0851063829787235,47,397
doctrine_only_baseline,year,2024,2.1479792572666345,0.09670519570856066,0.14634146341463414,0.43902439024390244,0.004596639373148357,-1.6341463414634145,41,373
doctrine_only_baseline,year,2025,2.1556611125087803,0.09350425927763202,0.11538461538461539,0.34615384615384615,0.012311135135221783,-2.0,26,244
ratings_plus_doctrine_core,split,train,1.307295190493171,0.05424069923548311,0.5915094339622642,0.8933962264150943,0.04084991787521716,1.5150943396226415,1060,11757
ratings_plus_doctrine_core,split,validation,1.4693459590003204,0.06061350610289827,0.4894837476099426,0.8489483747609943,0.026465331783429028,1.4760994263862333,523,5804
ratings_plus_doctrine_core,split,test,1.4345182854454899,0.07333010257274018,0.5526315789473685,0.868421052631579,0.04202993749446802,0.9122807017543859,114,1014
ratings_plus_doctrine_core,jurisdiction,FR,1.3409506872575694,0.07883015555423736,0.5714285714285714,0.8928571428571429,0.059920715482603935,0.7857142857142857,84,683
ratings_plus_doctrine_core,jurisdiction,HK,1.6787063251282717,0.06152578733939412,0.4827586206896552,0.7931034482758621,0.024736638036754598,1.2413793103448276,29,319
ratings_plus_doctrine_core,jurisdiction,JPN,2.212743382430129,0.07408346699564201,1.0,1.0,0.0025665014894102906,2.0,1,12
ratings_plus_doctrine_core,year,2023,1.3596874768102238,0.07632852230713495,0.6170212765957447,0.851063829787234,0.05627596053511825,0.7872340425531915,47,397
ratings_plus_doctrine_core,year,2024,1.3737181313390319,0.07046010166716674,0.5365853658536586,0.8780487804878049,0.058883776336562,1.2926829268292683,41,373
ratings_plus_doctrine_core,year,2025,1.6656665286848082,0.0728388636515278,0.46153846153846156,0.8846153846153846,0.039968211463195874,0.5384615384615384,26,244
ratings_plus_doctrine_with_market_calibration,split,train,1.1646919215130676,0.0500445073653408,0.5952830188679246,0.9066037735849056,0.021998470498046475,1.570754716981132,1060,11757
ratings_plus_doctrine_with_market_calibration,split,validation,1.387120570460556,0.058307575349800966,0.4933078393881453,0.8279158699808795,0.006621123567392469,1.4149139579349905,523,5804
ratings_plus_doctrine_with_market_calibration,split,test,1.314587589429992,0.06714726916909404,0.5789473684210527,0.8947368421052632,0.040067749532938554,1.0350877192982457,114,1014
ratings_plus_doctrine_with_market_calibration,jurisdiction,FR,1.145843875854434,0.06979660345980018,0.6071428571428571,0.9047619047619048,0.05227844043258069,0.9166666666666666,84,683
ratings_plus_doctrine_with_market_calibration,jurisdiction,HK,1.7804513132726905,0.0613605206034237,0.5172413793103449,0.8620689655172413,0.05000991436128176,1.4137931034482758,29,319
ratings_plus_doctrine_with_market_calibration,jurisdiction,JPN,1.9790115383386353,0.07018705849380577,0.0,1.0,0.0950464521988542,0.0,1,12
ratings_plus_doctrine_with_market_calibration,year,2023,1.2362662075819613,0.07060407808164526,0.5957446808510638,0.8936170212765957,0.05464946764612726,0.8936170212765957,47,397
ratings_plus_doctrine_with_market_calibration,year,2024,1.1934110676566472,0.06301624940283326,0.6097560975609756,0.8780487804878049,0.05704822632980651,1.3414634146341464,41,373
ratings_plus_doctrine_with_market_calibration,year,2025,1.6472546024901698,0.0678379135729155,0.5,0.9230769230769231,0.04816081205039091,0.8076923076923077,26,244
ratings_plus_doctrine_residual_over_market,split,train,1.3843308044397897,0.05835839169046137,0.5283018867924528,0.8528301886792453,0.026630621826775332,1.2820754716981133,1060,11757
ratings_plus_doctrine_residual_over_market,split,validation,1.5340177510351227,0.06327102621805866,0.44933078393881454,0.7820267686424475,0.014743173059011948,1.1950286806883366,523,5804
ratings_plus_doctrine_residual_over_market,split,test,1.407549168787816,0.07419783127580136,0.49122807017543857,0.868421052631579,0.035781728872182395,0.8157894736842105,114,1014
ratings_plus_doctrine_residual_over_market,jurisdiction,FR,1.298898625090758,0.07999464640962142,0.5119047619047619,0.8928571428571429,0.04878378456719608,0.7738095238095238,84,683
