race_id,course,off_time,model,lane,predicted_horse,horse_id,prediction_rank,prediction_score,decision_tier,product,final_sp,finishing_position,non_runner,source_artifact,generated_at,prediction_run_id,timing_safety,source_row_sha256
924614,Killarney,7.00,NEW_BUILD,lane_a,Drop Dead Gorgeous,,1,0.167775,NO_EDGE,NO_EDGE,9.5,8,False,two_lane_readiness_2026_07_15.json (single mutable file),2026-07-15T14:09:30.916443Z,NO_RUN_SCOPED_ID_AVAILABLE,AFTERNOON_PRE_RACE_PROVEN,
924615,Killarney,7.30,NEW_BUILD,lane_a,The Blue Panther,,1,0.086429,SUPPRESS,SUPPRESS,34.0,9,False,two_lane_readiness_2026_07_15.json (single mutable file),2026-07-15T14:09:30.916443Z,NO_RUN_SCOPED_ID_AVAILABLE,AFTERNOON_PRE_RACE_PROVEN,
923106,Yarmouth,7.40,NEW_BUILD,lane_a,Superstorm,,1,0.202691,NO_EDGE,NO_EDGE,6.0,4,False,two_lane_readiness_2026_07_15.json (single mutable file),2026-07-15T14:09:30.916443Z,NO_RUN_SCOPED_ID_AVAILABLE,AFTERNOON_PRE_RACE_PROVEN,
924616,Killarney,8.00,NEW_BUILD,lane_a,Alto Sax,,1,0.115373,SUPPRESS,SUPPRESS,4.33,5,False,two_lane_readiness_2026_07_15.json (single mutable file),2026-07-15T14:09:30.916443Z,NO_RUN_SCOPED_ID_AVAILABLE,AFTERNOON_PRE_RACE_PROVEN,
924617,Killarney,8.30,NEW_BUILD,lane_a,Jurality,,1,0.094063,SUPPRESS,SUPPRESS,4.0,5,False,two_lane_readiness_2026_07_15.json (single mutable file),2026-07-15T14:09:30.916443Z,NO_RUN_SCOPED_ID_AVAILABLE,AFTERNOON_PRE_RACE_PROVEN,
922986,Uttoxeter,2.18,NO_RPR_GENUINE,sqpe_no_rpr_shadow,Lipstick Traces,7289168,1,0.1318,,,12.0,5,False,"runner_snapshots (morning, immutable) sqpe_no_rpr_shadow_prob field",2026-07-15T08:46:03.598813+00:00,2026_07_15_aef63056_1784105122721,STRICT_PRE_RACE_PROVEN,929ad53ad4e3ded7591821ff3debd7ca00393c4fe762bd0c2035214a0ab8a255
923093,Catterick,2.40,NO_RPR_GENUINE,sqpe_no_rpr_shadow,Mick's The Boy,9263855,1,0.1023,,,2.88,6,False,"runner_snapshots (morning, immutable) sqpe_no_rpr_shadow_prob field",2026-07-15T08:46:03.598813+00:00,2026_07_15_aef63056_1784105122721,STRICT_PRE_RACE_PROVEN,4a23e6ff5a6e02b49f60412ef13985771d8b197d9ec4e6f44df24fab057dbf66
922990,Uttoxeter,2.48,NO_RPR_GENUINE,sqpe_no_rpr_shadow,Character Testing,5048061,1,0.1068,,,5.0,4,False,"runner_snapshots (morning, immutable) sqpe_no_rpr_shadow_prob field",2026-07-15T08:46:03.598813+00:00,2026_07_15_aef63056_1784105122721,STRICT_PRE_RACE_PROVEN,0a6df1d833fb7ef87da7c299ac4c70259f23867b5d524ce5087ec8b0068f8cec
923085,Bath,3.01,NO_RPR_GENUINE,sqpe_no_rpr_shadow,Sayidah Ardad,9184997,1,0.1211,,,21.0,7,False,"runner_snapshots (morning, immutable) sqpe_no_rpr_shadow_prob field",2026-07-15T08:46:03.598813+00:00,2026_07_15_aef63056_1784105122721,STRICT_PRE_RACE_PROVEN,bd89b0c9fb9362e0fefc8dd72957f3047d64d03877926f760a4d2cb9a8ccf220
923089,Bath,3.31,NO_RPR_GENUINE,sqpe_no_rpr_shadow,Beach Partee,7020235,1,0.1734,,,17.0,4,False,"runner_snapshots (morning, immutable) sqpe_no_rpr_shadow_prob field",2026-07-15T08:46:03.598813+00:00,2026_07_15_aef63056_1784105122721,STRICT_PRE_RACE_PROVEN,d5ff812f9e102d027e7e18bd1d1cabec1ea02763a4f7d2caeda61364d4cafaf5
