course,off_time,race_id,runner_name,matched_passport_name,match_tier,match_confidence,passport_available,reason,source_file
BEL,6.18,BEL_6.18,Spy,Spy,EXACT_NAME_MATCH,1.0,True,case/whitespace-insensitive exact match,racecard_BEL_2026-07-04.json
BEL,6.18,BEL_6.18,Stuntman Steve,Stuntman Steve,EXACT_NAME_MATCH,1.0,True,case/whitespace-insensitive exact match,racecard_BEL_2026-07-04.json
BEL,6.48,BEL_6.48,Ardeen Joy,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.667 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,6.48,BEL_6.48,Bold Reflection,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.727 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,6.48,BEL_6.48,Chisel Hill,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.727 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,6.48,BEL_6.48,Everyday Life,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.600 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,6.48,BEL_6.48,Giorgia Rose,Giorgia Rose,EXACT_NAME_MATCH,1.0,True,case/whitespace-insensitive exact match,racecard_BEL_2026-07-04.json
BEL,6.48,BEL_6.48,Glendaars Crystal,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.667 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,6.48,BEL_6.48,How'S Ellie,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.625 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,6.48,BEL_6.48,Idaho Expresso,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.714 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,6.48,BEL_6.48,Jet To Glory,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.667 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,6.48,BEL_6.48,Jo'S Secret,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.762 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,6.48,BEL_6.48,Prophetess Miriam,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.600 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,6.48,BEL_6.48,Red Acres Georgie,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.714 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,6.48,BEL_6.48,Riverwoods,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.632 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,6.48,BEL_6.48,Santa Paula,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.700 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,6.48,BEL_6.48,She'S All Talk Sir,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.645 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,6.48,BEL_6.48,Sonna Lady,Sonna Lady,EXACT_NAME_MATCH,1.0,True,case/whitespace-insensitive exact match,racecard_BEL_2026-07-04.json
BEL,6.48,BEL_6.48,Star Of Idaho,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.720 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,6.48,BEL_6.48,Uno Me I Like My T,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.562 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,6.48,BEL_6.48,Western Shores,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.786 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,7.18,BEL_7.18,Agent Tequila,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.692 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,7.18,BEL_7.18,Ballinagaine Girl,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.667 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,7.18,BEL_7.18,Clever Court,Clever Court,EXACT_NAME_MATCH,1.0,True,case/whitespace-insensitive exact match,racecard_BEL_2026-07-04.json
BEL,7.18,BEL_7.18,Clone Cross,Clone Cross,EXACT_NAME_MATCH,1.0,True,case/whitespace-insensitive exact match,racecard_BEL_2026-07-04.json
BEL,7.18,BEL_7.18,Codger'S Rock,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.727 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,7.18,BEL_7.18,Granlahan,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.667 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,7.18,BEL_7.18,Hitthehayson,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.696 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,7.18,BEL_7.18,Hurricane Honey,Hurricane Honey,EXACT_NAME_MATCH,1.0,True,case/whitespace-insensitive exact match,racecard_BEL_2026-07-04.json
BEL,7.18,BEL_7.18,Lost Features,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.583 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,7.18,BEL_7.18,My Policy,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.636 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,7.18,BEL_7.18,Pourquoi Poi,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.636 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,7.18,BEL_7.18,Riyami,Riyami,EXACT_NAME_MATCH,1.0,True,case/whitespace-insensitive exact match,racecard_BEL_2026-07-04.json
BEL,7.18,BEL_7.18,Soldier Saint,Soldier Saint,EXACT_NAME_MATCH,1.0,True,case/whitespace-insensitive exact match,racecard_BEL_2026-07-04.json
BEL,7.18,BEL_7.18,Whiskey Serenade,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.714 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,7.48,BEL_7.48,Accustomed,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.667 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,7.48,BEL_7.48,Broken Ice,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.625 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,7.48,BEL_7.48,Burning Ability,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.690 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,7.48,BEL_7.48,Jisco Du Brem,Jisco Du Brem,EXACT_NAME_MATCH,1.0,True,case/whitespace-insensitive exact match,racecard_BEL_2026-07-04.json
BEL,7.48,BEL_7.48,Justatan,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.667 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,7.48,BEL_7.48,Le Kap,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.571 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,7.48,BEL_7.48,Lisnagar Fortune,Lisnagar Fortune,EXACT_NAME_MATCH,1.0,True,case/whitespace-insensitive exact match,racecard_BEL_2026-07-04.json
BEL,7.48,BEL_7.48,Mavetherave,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.640 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,7.48,BEL_7.48,Mephisto,Mephisto,EXACT_NAME_MATCH,1.0,True,case/whitespace-insensitive exact match,racecard_BEL_2026-07-04.json
BEL,7.48,BEL_7.48,Midnight Moonshine,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.750 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,7.48,BEL_7.48,Ottoman Style,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.700 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,7.48,BEL_7.48,Outside The Door,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.645 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,7.48,BEL_7.48,Radar Ahead,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.800 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,7.48,BEL_7.48,Tolka Row,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.625 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,7.48,BEL_7.48,Whatsavailable,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.640 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,8.18,BEL_8.18,Begorrah Boy,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.667 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,8.18,BEL_8.18,Caman Hill,Caman Hill,EXACT_NAME_MATCH,1.0,True,case/whitespace-insensitive exact match,racecard_BEL_2026-07-04.json
BEL,8.18,BEL_8.18,Dee Bee Zed,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.609 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,8.18,BEL_8.18,Fortysixnchange,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.583 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,8.18,BEL_8.18,Go Loud,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.600 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,8.18,BEL_8.18,Hot Rock Harry,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.621 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,8.18,BEL_8.18,I Give Theorders,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.667 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,8.18,BEL_8.18,Kingside Lady,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.640 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,8.18,BEL_8.18,Mila Ballerina,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.688 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,8.18,BEL_8.18,Mr Enigma,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.625 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,8.18,BEL_8.18,Pamelaisbrass,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.632 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,8.18,BEL_8.18,Rokanako,Rokanako,EXACT_NAME_MATCH,1.0,True,case/whitespace-insensitive exact match,racecard_BEL_2026-07-04.json
BEL,8.18,BEL_8.18,Silk Buds,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.632 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,8.18,BEL_8.18,Sir Vinny,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.667 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,8.18,BEL_8.18,Woodie Wiley,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.615 below 0.90 threshold,racecard_BEL_2026-07-04.json
