race_id,horse_id,reason,detail
rp_AYR_20260520_4.12,rp_AYR_maui_breeze,RACE_UNRESOLVED,NO_CANDIDATE_FOUND
rp_AYR_20260520_4.12,rp_AYR_mr_cool,RACE_UNRESOLVED,NO_CANDIDATE_FOUND
rp_AYR_20260520_4.12,rp_AYR_novak,RACE_UNRESOLVED,NO_CANDIDATE_FOUND
rp_AYR_20260520_4.12,rp_AYR_royal_blaze,RACE_UNRESOLVED,NO_CANDIDATE_FOUND
rp_AYR_20260520_4.12,rp_AYR_valentine_catcher,RACE_UNRESOLVED,NO_CANDIDATE_FOUND
rp_AYR_20260520_4.12,rp_AYR_roaring_ralph,RACE_UNRESOLVED,NO_CANDIDATE_FOUND
rp_AYR_20260520_4.12,rp_AYR_elizabeth_bay,RACE_UNRESOLVED,NO_CANDIDATE_FOUND
rp_AYR_20260520_4.42,rp_AYR_golden_valour,RACE_UNRESOLVED,NO_CANDIDATE_FOUND
rp_AYR_20260520_4.42,rp_AYR_great,RACE_UNRESOLVED,NO_CANDIDATE_FOUND
rp_AYR_20260520_4.42,rp_AYR_habrdi,RACE_UNRESOLVED,NO_CANDIDATE_FOUND
rp_AYR_20260520_4.42,rp_AYR_macedonian,RACE_UNRESOLVED,NO_CANDIDATE_FOUND
rp_AYR_20260520_4.42,rp_AYR_native_honey,RACE_UNRESOLVED,NO_CANDIDATE_FOUND
rp_AYR_20260520_4.42,rp_AYR_pension_pot,RACE_UNRESOLVED,NO_CANDIDATE_FOUND
rp_AYR_20260520_4.42,rp_AYR_qazaq,RACE_UNRESOLVED,NO_CANDIDATE_FOUND
rp_AYR_20260520_4.42,rp_AYR_rwenearlytheredad,RACE_UNRESOLVED,NO_CANDIDATE_FOUND
rp_AYR_20260520_4.42,rp_AYR_tattie_bogle,RACE_UNRESOLVED,NO_CANDIDATE_FOUND
rp_AYR_20260520_5.15,rp_AYR_evelyn's_phoenix,RACE_UNRESOLVED,NO_CANDIDATE_FOUND
rp_AYR_20260520_5.15,rp_AYR_glorious_kitty,RACE_UNRESOLVED,NO_CANDIDATE_FOUND
rp_AYR_20260520_5.15,rp_AYR_lovette,RACE_UNRESOLVED,NO_CANDIDATE_FOUND
rp_AYR_20260520_5.15,rp_AYR_mwafaq,RACE_UNRESOLVED,NO_CANDIDATE_FOUND
rp_AYR_20260520_5.15,rp_AYR_sophiesticate,RACE_UNRESOLVED,NO_CANDIDATE_FOUND
rp_AYR_20260520_5.15,rp_AYR_south_road,RACE_UNRESOLVED,NO_CANDIDATE_FOUND
rp_AYR_20260520_5.15,rp_AYR_tap_dancer,RACE_UNRESOLVED,NO_CANDIDATE_FOUND
rp_AYR_20260520_5.15,rp_AYR_wolf_of_badenoch,RACE_UNRESOLVED,NO_CANDIDATE_FOUND
rp_FFO_20260520_2.50,rp_FFO_aslukgoes,RACE_UNRESOLVED,NO_CANDIDATE_FOUND
rp_FFO_20260520_2.50,rp_FFO_juggernaut,RACE_UNRESOLVED,NO_CANDIDATE_FOUND
rp_FFO_20260520_2.50,rp_FFO_lion_of_the_desert,RACE_UNRESOLVED,NO_CANDIDATE_FOUND
rp_FFO_20260520_2.50,rp_FFO_october_hill,RACE_UNRESOLVED,NO_CANDIDATE_FOUND
rp_FFO_20260520_2.50,rp_FFO_red_rubio,RACE_UNRESOLVED,NO_CANDIDATE_FOUND
rp_FFO_20260520_2.50,rp_FFO_lemon_leaf,RACE_UNRESOLVED,NO_CANDIDATE_FOUND
rp_FFO_20260520_3.20,rp_FFO_kenobi,RACE_UNRESOLVED,NO_CANDIDATE_FOUND
rp_FFO_20260520_3.20,rp_FFO_the_flaggy_shore,RACE_UNRESOLVED,NO_CANDIDATE_FOUND
rp_FFO_20260520_3.20,rp_FFO_fiskardo,RACE_UNRESOLVED,NO_CANDIDATE_FOUND
rp_FFO_20260520_3.20,rp_FFO_one_knight,RACE_UNRESOLVED,NO_CANDIDATE_FOUND
