race_id,course,off_time,winner,old_velo_selected,no_rpr_selected,new_build_selected,champion_intent_selected,old_velo_timing_status,no_rpr_timing_status,new_build_timing_status,champion_intent_timing_status,favourite_won,favourite_horse,favourite_sp
922987,Uttoxeter,4.18,Pep Talking,False,False,True,False,STRICT_PRE_RACE_PROVEN,STRICT_PRE_RACE_PROVEN,AFTERNOON_PRE_RACE_PROVEN,AFTERNOON_PRE_RACE_PROVEN,False,Le Gentleman,3.25
923087,Bath,4.31,Yokkell,False,False,False,False,STRICT_PRE_RACE_PROVEN,STRICT_PRE_RACE_PROVEN,AFTERNOON_PRE_RACE_PROVEN,AFTERNOON_PRE_RACE_PROVEN,True,Yokkell,2.38
923094,Catterick,4.40,Our Absent Friends,False,False,False,False,STRICT_PRE_RACE_PROVEN,STRICT_PRE_RACE_PROVEN,AFTERNOON_PRE_RACE_PROVEN,AFTERNOON_PRE_RACE_PROVEN,False,South Shore,2.38
922989,Uttoxeter,4.48,Belladinotte,False,False,True,False,STRICT_PRE_RACE_PROVEN,STRICT_PRE_RACE_PROVEN,AFTERNOON_PRE_RACE_PROVEN,AFTERNOON_PRE_RACE_PROVEN,False,Camshaft,4.5
923104,Yarmouth,5.00,Adalida,True,False,False,True,STRICT_PRE_RACE_PROVEN,STRICT_PRE_RACE_PROVEN,AFTERNOON_PRE_RACE_PROVEN,AFTERNOON_PRE_RACE_PROVEN,True,Adalida,2.5
923088,Bath,5.05,Havana Club,True,False,False,False,STRICT_PRE_RACE_PROVEN,STRICT_PRE_RACE_PROVEN,AFTERNOON_PRE_RACE_PROVEN,AFTERNOON_PRE_RACE_PROVEN,True,Havana Club,3.25
923098,Lingfield,5.20,Probation,True,False,False,False,STRICT_PRE_RACE_PROVEN,STRICT_PRE_RACE_PROVEN,AFTERNOON_PRE_RACE_PROVEN,AFTERNOON_PRE_RACE_PROVEN,False,Golden Orbit,1.83
922991,Uttoxeter,5.25,The Elusive Pike,False,False,False,False,STRICT_PRE_RACE_PROVEN,EXCLUDED_POST_RACE_TIE_OR_UNPROVEN,AFTERNOON_PRE_RACE_PROVEN,AFTERNOON_PRE_RACE_PROVEN,False,Downtown Nashville,3.75
924611,Killarney,5.30,Minaun View,True,False,False,False,STRICT_PRE_RACE_PROVEN,STRICT_PRE_RACE_PROVEN,AFTERNOON_PRE_RACE_PROVEN,AFTERNOON_PRE_RACE_PROVEN,True,Minaun View,4.0
923105,Yarmouth,5.35,Splash,True,False,False,False,STRICT_PRE_RACE_PROVEN,STRICT_PRE_RACE_PROVEN,AFTERNOON_PRE_RACE_PROVEN,AFTERNOON_PRE_RACE_PROVEN,False,Starship Lily,1.91
923097,Lingfield,5.50,Brunhilde,True,True,True,True,STRICT_PRE_RACE_PROVEN,STRICT_PRE_RACE_PROVEN,AFTERNOON_PRE_RACE_PROVEN,AFTERNOON_PRE_RACE_PROVEN,True,Brunhilde,1.14
