race_id,course,date,off_time,reason,candidates
919990,Ripon,2026-06-03,20:42,NO_LOCAL_RESULT_FILE_MATCH,0
919878,Warwick,2026-06-03,21:00,NO_LOCAL_RESULT_FILE_MATCH,0
rp_HAPPY_20260603_11.40,Happy Valley,2026-06-03,11.40,NO_LOCAL_RESULT_FILE_MATCH,0
rp_HAPPY_20260603_12.10,Happy Valley,2026-06-03,12.10,NO_LOCAL_RESULT_FILE_MATCH,0
rp_HAPPY_20260603_12.40,Happy Valley,2026-06-03,12.40,NO_LOCAL_RESULT_FILE_MATCH,0
rp_HAPPY_20260603_1.10,Happy Valley,2026-06-03,1.10,NO_LOCAL_RESULT_FILE_MATCH,0
rp_HAPPY_20260603_1.40,Happy Valley,2026-06-03,1.40,NO_LOCAL_RESULT_FILE_MATCH,0
rp_HAPPY_20260603_2.10,Happy Valley,2026-06-03,2.10,NO_LOCAL_RESULT_FILE_MATCH,0
rp_HAPPY_20260603_2.45,Happy Valley,2026-06-03,2.45,NO_LOCAL_RESULT_FILE_MATCH,0
rp_HAPPY_20260603_3.15,Happy Valley,2026-06-03,3.15,NO_LOCAL_RESULT_FILE_MATCH,0
rp_HAPPY_20260603_3.50,Happy Valley,2026-06-03,3.50,NO_LOCAL_RESULT_FILE_MATCH,0
rp_NEWTON_20260603_2.30,Newton Abbot,2026-06-03,2.30,NO_LOCAL_RESULT_FILE_MATCH,0
rp_NEWTON_20260603_3.00,Newton Abbot,2026-06-03,3.00,NO_LOCAL_RESULT_FILE_MATCH,0
rp_NEWTON_20260603_3.30,Newton Abbot,2026-06-03,3.30,NO_LOCAL_RESULT_FILE_MATCH,0
rp_NEWTON_20260603_4.00,Newton Abbot,2026-06-03,4.00,NO_LOCAL_RESULT_FILE_MATCH,0
rp_NEWTON_20260603_4.30,Newton Abbot,2026-06-03,4.30,NO_LOCAL_RESULT_FILE_MATCH,0
rp_NEWTON_20260603_5.00,Newton Abbot,2026-06-03,5.00,NO_LOCAL_RESULT_FILE_MATCH,0
rp_NEWTON_20260603_5.30,Newton Abbot,2026-06-03,5.30,NO_LOCAL_RESULT_FILE_MATCH,0
rp_SARATOGA_20260603_5.35,Saratoga,2026-06-03,5.35,NO_LOCAL_RESULT_FILE_MATCH,0
rp_WARWICK_20260603_6.20,Warwick,2026-06-03,6.20,NO_LOCAL_RESULT_FILE_MATCH,0
rp_WARWICK_20260603_6.55,Warwick,2026-06-03,6.55,NO_LOCAL_RESULT_FILE_MATCH,0
rp_WARWICK_20260603_7.30,Warwick,2026-06-03,7.30,NO_LOCAL_RESULT_FILE_MATCH,0
rp_WARWICK_20260603_8.00,Warwick,2026-06-03,8.00,NO_LOCAL_RESULT_FILE_MATCH,0
