run_date,race_id,model_name,lane_name,horse,horse_id,source_scorecard_id,source_field,rank,score,sp_dec,result_position,win,frame,policy_decision,stake_authorised,dashboard_visible,learning_class,event_type,promotion_eligible,promotion_block_reason,lesson,evidence,generated_from_commit
2026-07-05,924344,MAIN_VELO_PRIME,main,Reputation,881321,11,velo_prime_prob,1,0.5491,15.0,9,False,False,N/A (no policy layer for Main VELO -- persists directly),False,True,MODEL_MISS,MODEL_MISS_NO_POLICY_LAYER,False,PROMOTION_GATED_BY_STANDING_HARD_LAW,MAIN_VELO_PRIME picked Reputation (SP 15.0) and it did not win.,"{""source_path"": ""Supabase velo_verdicts.full_analysis.predictions[]"", ""notes"": ""Main VELO's own top-ranked pick.""}",5f269b49cf8e6e75cc4d8ffafd9394c55cd5bb38
2026-07-05,924344,SQPE_NO_RPR_SHADOW,shadow,Noble Guest,6166264,12,sqpe_no_rpr_shadow_prob,1,0.1055,4.33,7,False,False,N/A (no policy layer for this shadow field),False,True,MODEL_MISS,MODEL_MISS_NO_POLICY_LAYER,False,PROMOTION_GATED_BY_STANDING_HARD_LAW,SQPE_NO_RPR_SHADOW picked Noble Guest (SP 4.33) and it did not win.,"{""source_path"": ""Supabase velo_verdicts.full_analysis.predictions[]"", ""notes"": null}",5f269b49cf8e6e75cc4d8ffafd9394c55cd5bb38
2026-07-05,921921,MAIN_VELO_PRIME,main,Onemorenomore,5051945,13,velo_prime_prob,1,0.5322,4.0,3,False,True,N/A (no policy layer for Main VELO -- persists directly),False,True,MODEL_MISS,MODEL_MISS_NO_POLICY_LAYER,False,PROMOTION_GATED_BY_STANDING_HARD_LAW,MAIN_VELO_PRIME picked Onemorenomore (SP 4.0) and it did not win.,"{""source_path"": ""Supabase velo_verdicts.full_analysis.predictions[]"", ""notes"": ""Main VELO's own top-ranked pick.""}",5f269b49cf8e6e75cc4d8ffafd9394c55cd5bb38
2026-07-05,921921,SQPE_NO_RPR_SHADOW,shadow,Surprised,6345381,14,sqpe_no_rpr_shadow_prob,1,0.1031,21.0,7,False,False,N/A (no policy layer for this shadow field),False,True,MODEL_MISS,MODEL_MISS_NO_POLICY_LAYER,False,PROMOTION_GATED_BY_STANDING_HARD_LAW,SQPE_NO_RPR_SHADOW picked Surprised (SP 21.0) and it did not win.,"{""source_path"": ""Supabase velo_verdicts.full_analysis.predictions[]"", ""notes"": null}",5f269b49cf8e6e75cc4d8ffafd9394c55cd5bb38
2026-07-05,921917,MAIN_VELO_PRIME,main,Kalokalo,7762488,15,velo_prime_prob,1,0.2293,4.0,1,True,True,N/A (no policy layer for Main VELO -- persists directly),False,True,MODEL_HIT,MODEL_HIT_NO_POLICY_LAYER,False,PROMOTION_GATED_BY_STANDING_HARD_LAW,MAIN_VELO_PRIME picked Kalokalo (SP 4.0) and it won.,"{""source_path"": ""Supabase velo_verdicts.full_analysis.predictions[]"", ""notes"": ""Main VELO's own top-ranked pick.""}",5f269b49cf8e6e75cc4d8ffafd9394c55cd5bb38
2026-07-05,921917,SQPE_NO_RPR_SHADOW,shadow,Alpine Culture,7801966,16,sqpe_no_rpr_shadow_prob,1,0.0837,6.0,11,False,False,N/A (no policy layer for this shadow field),False,True,TIE_UNRESOLVED,RANKING_INTEGRITY_BUG,False,PROMOTION_GATED_BY_STANDING_HARD_LAW,"SQPE_NO_RPR_SHADOW's ranking field produced a tie for this race -- no principled top pick exists; a ranking-integrity bug, not a prediction.","{""source_path"": ""Supabase velo_verdicts.full_analysis.predictions[]"", ""notes"": ""Top pick is not a principled read if tie_status != CLEAN.""}",5f269b49cf8e6e75cc4d8ffafd9394c55cd5bb38
2026-07-05,922122,MAIN_VELO_PRIME,main,Masterius,9217611,17,velo_prime_prob,1,0.4669,2.0,3,False,True,N/A (no policy layer for Main VELO -- persists directly),False,True,MODEL_MISS,MODEL_MISS_NO_POLICY_LAYER,False,PROMOTION_GATED_BY_STANDING_HARD_LAW,MAIN_VELO_PRIME picked Masterius (SP 2.0) and it did not win.,"{""source_path"": ""Supabase velo_verdicts.full_analysis.predictions[]"", ""notes"": ""Main VELO's own top-ranked pick.""}",5f269b49cf8e6e75cc4d8ffafd9394c55cd5bb38
2026-07-05,922122,SQPE_NO_RPR_SHADOW,shadow,Masterius,9217611,18,sqpe_no_rpr_shadow_prob,1,0.0975,2.0,3,False,True,N/A (no policy layer for this shadow field),False,True,TIE_UNRESOLVED,RANKING_INTEGRITY_BUG,False,PROMOTION_GATED_BY_STANDING_HARD_LAW,"SQPE_NO_RPR_SHADOW's ranking field produced a tie for this race -- no principled top pick exists; a ranking-integrity bug, not a prediction.","{""source_path"": ""Supabase velo_verdicts.full_analysis.predictions[]"", ""notes"": ""Top pick is not a principled read if tie_status != CLEAN.""}",5f269b49cf8e6e75cc4d8ffafd9394c55cd5bb38
2026-07-05,922120,MAIN_VELO_PRIME,main,Huckleberry Sting,5343986,19,velo_prime_prob,1,0.4112,4.0,1,True,True,N/A (no policy layer for Main VELO -- persists directly),False,True,MODEL_HIT,MODEL_HIT_NO_POLICY_LAYER,False,PROMOTION_GATED_BY_STANDING_HARD_LAW,MAIN_VELO_PRIME picked Huckleberry Sting (SP 4.0) and it won.,"{""source_path"": ""Supabase velo_verdicts.full_analysis.predictions[]"", ""notes"": ""Main VELO's own top-ranked pick.""}",5f269b49cf8e6e75cc4d8ffafd9394c55cd5bb38
2026-07-05,922120,SQPE_NO_RPR_SHADOW,shadow,Ballydisco,3458001,20,sqpe_no_rpr_shadow_prob,1,0.1055,5.5,,False,False,N/A (no policy layer for this shadow field),False,True,MODEL_MISS,MODEL_MISS_NO_POLICY_LAYER,False,PROMOTION_GATED_BY_STANDING_HARD_LAW,SQPE_NO_RPR_SHADOW picked Ballydisco (SP 5.5) and it did not win.,"{""source_path"": ""Supabase velo_verdicts.full_analysis.predictions[]"", ""notes"": null}",5f269b49cf8e6e75cc4d8ffafd9394c55cd5bb38
