avg_field_size,avg_winner_sp,data_missing_count,eligible_races,frame_rate_pct,median_winner_sp,misses,model,placed_only,strike_rate_pct,theoretical_1u_win_only_roi_pct,total_frames,wins
8.9,4.15,0,42,73.8,2.75,11,Old VELO (live),8,54.8,127.4,31,23
8.9,2.53,0,42,54.8,2.5,19,No-RPR (shadow),13,23.8,-39.7,23,10
,,42,0,,,0,New Build,0,,,0,0
,,42,0,,,0,Champion Intent Shadow,0,,,0,0
