course,off_time,runner_name,best_candidate_1,score_1,best_candidate_2,score_2,recommended_action,reason
NMK,4.25,Divine Libra,Divine Whisper,0.6923,Divine Concerto,0.5926,NO_MATCH,best fuzzy score 0.692 below 0.90 threshold
NMK,4.25,Houquetot,Zoulette,0.5882,Lady Bouquet,0.5714,NO_MATCH,best fuzzy score 0.588 below 0.90 threshold
NMK,4.25,No Retreat,No Regrets,0.8,No Return,0.7368,NO_MATCH,best fuzzy score 0.800 below 0.90 threshold
NMK,4.25,One Smack Mac,Maverick Mack,0.6154,Cosmic Man,0.6087,NO_MATCH,best fuzzy score 0.615 below 0.90 threshold
NMK,4.25,Silver Ghost,Silver State,0.75,Silver Whisper,0.6923,NO_MATCH,best fuzzy score 0.750 below 0.90 threshold
NMK,5.00,Alaminos,Calamint,0.75,Calibos,0.6667,NO_MATCH,best fuzzy score 0.750 below 0.90 threshold
NMK,5.00,Aqua Bear,Arthur Bear,0.7,Blue Bear,0.6667,NO_MATCH,best fuzzy score 0.700 below 0.90 threshold
NMK,5.00,I'Ll Be Back,Filey Beach,0.6364,Welcome Back,0.6087,NO_MATCH,best fuzzy score 0.636 below 0.90 threshold
NMK,5.00,Ironwill,Unionville,0.6667,Byron Hill,0.6667,NO_MATCH,best fuzzy score 0.667 below 0.90 threshold
NMK,5.00,Lightning Polka,Lightning Glory,0.7333,Fighting Poet,0.7143,NO_MATCH,best fuzzy score 0.733 below 0.90 threshold
NMK,5.00,Proud Nation,Probation,0.7619,Rock Sensation,0.6923,NO_MATCH,best fuzzy score 0.762 below 0.90 threshold
NMK,5.00,Winding Stream,Ascending Star,0.6429,Obsidian Dream,0.6429,NO_MATCH,best fuzzy score 0.643 below 0.90 threshold
NOT,6.00,One In A Millz,Me An' All,0.6087,Confide In Me,0.5926,NO_MATCH,best fuzzy score 0.609 below 0.90 threshold
NOT,6.30,Courageous Sioux,Court Of Session,0.5625,Curious Rover,0.5517,NO_MATCH,best fuzzy score 0.562 below 0.90 threshold
NOT,6.30,Court Alert,Call Alert,0.6667,Calvert,0.6667,NO_MATCH,best fuzzy score 0.667 below 0.90 threshold
