date,race_id,course,off_time,model_name,lane_name,source_path,source_field,sort_direction,rank,horse,horse_id,score,sp_dec,result_position,win,frame,policy_decision,stake_authorised,dashboard_visible,learning_class,tie_status,notes
2026-07-05,922120,Market Rasen,4.35,SQPE_NO_RPR_SHADOW,shadow,Supabase velo_verdicts.full_analysis.predictions[],sqpe_no_rpr_shadow_prob,descending,1,Ballydisco,3458001,0.1055,5.5,PU,False,False,N/A (no policy layer for this shadow field),False,True,MODEL_MISS,CLEAN,
2026-07-05,922117,Market Rasen,4.00,MAIN_VELO_PRIME,main,Supabase velo_verdicts.full_analysis.predictions[],velo_prime_prob,descending,1,Regal Renaissance,4305460,0.3923,3.0,1,True,True,N/A (no policy layer for Main VELO -- persists directly),False,True,MODEL_HIT,CLEAN,Main VELO's own top-ranked pick.
2026-07-05,922117,Market Rasen,4.00,SQPE_NO_RPR_SHADOW,shadow,Supabase velo_verdicts.full_analysis.predictions[],sqpe_no_rpr_shadow_prob,descending,1,Fringill Dike,3432677,0.3284,1.83,2,False,True,N/A (no policy layer for this shadow field),False,True,MODEL_MISS,CLEAN,
2026-07-05,922123,Market Rasen,3.25,MAIN_VELO_PRIME,main,Supabase velo_verdicts.full_analysis.predictions[],velo_prime_prob,descending,1,The Roc Hopper,5366253,0.2876,13.0,8,False,False,N/A (no policy layer for Main VELO -- persists directly),False,True,MODEL_MISS,CLEAN,Main VELO's own top-ranked pick.
2026-07-05,922123,Market Rasen,3.25,SQPE_NO_RPR_SHADOW,shadow,Supabase velo_verdicts.full_analysis.predictions[],sqpe_no_rpr_shadow_prob,descending,1,Lunar Morning,7303417,0.1016,17.0,5,False,False,N/A (no policy layer for this shadow field),False,True,MODEL_MISS,CLEAN,
2026-07-05,922119,Market Rasen,2.50,MAIN_VELO_PRIME,main,Supabase velo_verdicts.full_analysis.predictions[],velo_prime_prob,descending,1,Crown Of India,5218313,0.3921,8.0,2,False,True,N/A (no policy layer for Main VELO -- persists directly),False,True,MODEL_MISS,CLEAN,Main VELO's own top-ranked pick.
2026-07-05,922119,Market Rasen,2.50,SQPE_NO_RPR_SHADOW,shadow,Supabase velo_verdicts.full_analysis.predictions[],sqpe_no_rpr_shadow_prob,descending,1,Fidendum,5848874,0.1653,2.88,1,True,True,N/A (no policy layer for this shadow field),False,True,MODEL_HIT,CLEAN,
2026-07-05,922118,Market Rasen,2.20,MAIN_VELO_PRIME,main,Supabase velo_verdicts.full_analysis.predictions[],velo_prime_prob,descending,1,Way Maker,7753413,0.5313,1.83,3,False,True,N/A (no policy layer for Main VELO -- persists directly),False,True,MODEL_MISS,CLEAN,Main VELO's own top-ranked pick.
2026-07-05,922118,Market Rasen,2.20,SQPE_NO_RPR_SHADOW,shadow,Supabase velo_verdicts.full_analysis.predictions[],sqpe_no_rpr_shadow_prob,descending,1,Brosna Town,5301550,0.1528,8.5,2,False,True,N/A (no policy layer for this shadow field),False,True,MODEL_MISS,CLEAN,
2026-07-05,922121,Market Rasen,1.50,MAIN_VELO_PRIME,main,Supabase velo_verdicts.full_analysis.predictions[],velo_prime_prob,descending,1,Gone In Sixty,4320814,0.3232,5.5,4,False,False,N/A (no policy layer for Main VELO -- persists directly),False,True,MODEL_MISS,CLEAN,Main VELO's own top-ranked pick.
2026-07-05,922121,Market Rasen,1.50,SQPE_NO_RPR_SHADOW,shadow,Supabase velo_verdicts.full_analysis.predictions[],sqpe_no_rpr_shadow_prob,descending,1,Oneinthewell,7148050,0.1498,4.33,2,False,True,N/A (no policy layer for this shadow field),False,True,MODEL_MISS,CLEAN,
2026-07-05,922294,Ayr,5.35,MAIN_VELO_PRIME,main,Supabase velo_verdicts.full_analysis.predictions[],velo_prime_prob,descending,1,Jkr Cobbler,3662546,0.3659,4.0,1,True,True,N/A (no policy layer for Main VELO -- persists directly),False,True,MODEL_HIT,CLEAN,Main VELO's own top-ranked pick.
2026-07-05,922294,Ayr,5.35,SQPE_NO_RPR_SHADOW,shadow,Supabase velo_verdicts.full_analysis.predictions[],sqpe_no_rpr_shadow_prob,descending,1,Lope Y Linda,7365388,0.1035,9.5,2,False,True,N/A (no policy layer for this shadow field),False,True,MODEL_MISS,CLEAN,
2026-07-05,922288,Ayr,5.00,MAIN_VELO_PRIME,main,Supabase velo_verdicts.full_analysis.predictions[],velo_prime_prob,descending,1,Dwindling Funds,7339104,0.6455,4.33,2,False,True,N/A (no policy layer for Main VELO -- persists directly),False,True,MODEL_MISS,CLEAN,Main VELO's own top-ranked pick.
2026-07-05,922288,Ayr,5.00,SQPE_NO_RPR_SHADOW,shadow,Supabase velo_verdicts.full_analysis.predictions[],sqpe_no_rpr_shadow_prob,descending,1,Celeborn,6032317,0.1146,4.5,5,False,False,N/A (no policy layer for this shadow field),False,True,MODEL_MISS,CLEAN,
2026-07-05,922292,Ayr,4.25,MAIN_VELO_PRIME,main,Supabase velo_verdicts.full_analysis.predictions[],velo_prime_prob,descending,1,Shifter,4011144,0.2914,5.0,3,False,True,N/A (no policy layer for Main VELO -- persists directly),False,True,MODEL_MISS,CLEAN,Main VELO's own top-ranked pick.
2026-07-05,922292,Ayr,4.25,SQPE_NO_RPR_SHADOW,shadow,Supabase velo_verdicts.full_analysis.predictions[],sqpe_no_rpr_shadow_prob,descending,1,Mr Withington,6881400,0.1113,7.0,6,False,False,N/A (no policy layer for this shadow field),False,True,MODEL_MISS,CLEAN,
2026-07-05,922293,Ayr,3.50,MAIN_VELO_PRIME,main,Supabase velo_verdicts.full_analysis.predictions[],velo_prime_prob,descending,1,Langholm,1860060,0.3855,8.0,4,False,False,N/A (no policy layer for Main VELO -- persists directly),False,True,MODEL_MISS,CLEAN,Main VELO's own top-ranked pick.
2026-07-05,922293,Ayr,3.50,SQPE_NO_RPR_SHADOW,shadow,Supabase velo_verdicts.full_analysis.predictions[],sqpe_no_rpr_shadow_prob,descending,1,Park Lane Penny,7204932,0.1138,4.33,2,False,True,N/A (no policy layer for this shadow field),False,True,MODEL_MISS,CLEAN,
2026-07-05,922289,Ayr,3.15,MAIN_VELO_PRIME,main,Supabase velo_verdicts.full_analysis.predictions[],velo_prime_prob,descending,1,Idyllic,5403096,0.3253,34.0,4,False,False,N/A (no policy layer for Main VELO -- persists directly),False,True,MODEL_MISS,CLEAN,Main VELO's own top-ranked pick.
2026-07-05,922289,Ayr,3.15,SQPE_NO_RPR_SHADOW,shadow,Supabase velo_verdicts.full_analysis.predictions[],sqpe_no_rpr_shadow_prob,descending,1,Kokanee,6679883,0.1086,4.33,8,False,False,N/A (no policy layer for this shadow field),False,True,MODEL_MISS,CLEAN,
2026-07-05,922290,Ayr,2.41,MAIN_VELO_PRIME,main,Supabase velo_verdicts.full_analysis.predictions[],velo_prime_prob,descending,1,Instant Force,9312924,0.6001,1.44,2,False,True,N/A (no policy layer for Main VELO -- persists directly),False,True,MODEL_MISS,CLEAN,Main VELO's own top-ranked pick.
2026-07-05,922290,Ayr,2.41,SQPE_NO_RPR_SHADOW,shadow,Supabase velo_verdicts.full_analysis.predictions[],sqpe_no_rpr_shadow_prob,descending,1,Instant Force,9312924,0.2176,1.44,2,False,True,N/A (no policy layer for this shadow field),False,True,TIE_UNRESOLVED,TIED_4_WAY,Top pick is not a principled read if tie_status != CLEAN.
2026-07-05,922291,Ayr,2.11,MAIN_VELO_PRIME,main,Supabase velo_verdicts.full_analysis.predictions[],velo_prime_prob,descending,1,Midnight Lir,5033147,0.3083,11.0,4,False,False,N/A (no policy layer for Main VELO -- persists directly),False,True,MODEL_MISS,CLEAN,Main VELO's own top-ranked pick.
2026-07-05,922291,Ayr,2.11,SQPE_NO_RPR_SHADOW,shadow,Supabase velo_verdicts.full_analysis.predictions[],sqpe_no_rpr_shadow_prob,descending,1,Woohoo,5410664,0.1525,4.5,2,False,True,N/A (no policy layer for this shadow field),False,True,MODEL_MISS,CLEAN,
2026-07-05,922121,Market Rasen,1.50,NEW_BUILD_LANE_A_MODEL,lane_a,data/new_build/reports/two_lane_readiness_2026_07_05.json,race_day_scorecards[].lane_a_top3.prob,descending,1,Gone In Sixty,4320814,0.1758,5.5,4,False,False,NO_EDGE,False,True,MODEL_MISS,N/A,Dashboard-visible via new_build_top3 (server reads lane_a_top3 only).
2026-07-05,922121,Market Rasen,1.50,NEW_BUILD_LANE_A_MODEL,lane_a,data/new_build/reports/two_lane_readiness_2026_07_05.json,race_day_scorecards[].lane_a_top3.prob,descending,2,Lakefield Flyer,4117778,0.123782,3.75,3,False,True,NO_EDGE,False,True,MODEL_MISS,N/A,Dashboard-visible via new_build_top3 (server reads lane_a_top3 only).
