race_id,course,off_time,model,lane,predicted_horse,prediction_rank,prediction_score,decision_tier,product,morning_price,final_sp,bsp,finishing_position,non_runner,source_artifact,generated_at,prediction_run_id,timing_safety
923096,Lingfield,7.20,NEW_BUILD,lane_a,Desert Shadow,1,0.306604,WIN_TRUST,WIN_TRUST,,3.5,,1,False,evidence_staging/2026-07-15/data/new_build/reports/two_lane_readiness_2026_07_15.json,2026-07-15T14:09:30.916443Z,NO_RUN_SCOPED_ID_AVAILABLE,MORNING_RUN_UNPROVEN
924714,Happy Valley,1.30,NO_RPR_SHADOW,sqpe_no_rpr_shadow,Winning Champion,1,0.2992,B,NO_BET_SHADOW,,11.0,,1,False,evidence_staging/2026-07-15/data/reports/radical_shadow_2026_07_15.json,2026-07-15T14:09:20.832246+00:00,NO_RUN_SCOPED_ID_AVAILABLE,MORNING_RUN_UNPROVEN
922986,Uttoxeter,2.18,NO_RPR_SHADOW,sqpe_no_rpr_shadow,Fine Thing,1,0.3801,B,PASS,,2.88,,1,False,evidence_staging/2026-07-15/data/reports/radical_shadow_2026_07_15.json,2026-07-15T14:09:20.832246+00:00,NO_RUN_SCOPED_ID_AVAILABLE,MORNING_RUN_UNPROVEN
924716,Happy Valley,2.35,NO_RPR_SHADOW,sqpe_no_rpr_shadow,Thriving Brothers,1,0.3122,B,PASS,,3.8,,1,False,evidence_staging/2026-07-15/data/reports/radical_shadow_2026_07_15.json,2026-07-15T14:09:20.832246+00:00,NO_RUN_SCOPED_ID_AVAILABLE,MORNING_RUN_UNPROVEN
923093,Catterick,2.40,NO_RPR_SHADOW,sqpe_no_rpr_shadow,South West,1,0.425,B,PASS,,2.88,,1,False,evidence_staging/2026-07-15/data/reports/radical_shadow_2026_07_15.json,2026-07-15T14:09:20.832246+00:00,NO_RUN_SCOPED_ID_AVAILABLE,MORNING_RUN_UNPROVEN
922990,Uttoxeter,2.48,NO_RPR_SHADOW,sqpe_no_rpr_shadow,Lady Fortune,1,0.2458,B,PASS,,11.0,,1,False,evidence_staging/2026-07-15/data/reports/radical_shadow_2026_07_15.json,2026-07-15T14:09:20.832246+00:00,NO_RUN_SCOPED_ID_AVAILABLE,MORNING_RUN_UNPROVEN
923095,Catterick,3.10,NO_RPR_SHADOW,sqpe_no_rpr_shadow,Lady Dublin,1,0.5368,A,CASH_RUN,,3.0,,1,False,evidence_staging/2026-07-15/data/reports/radical_shadow_2026_07_15.json,2026-07-15T14:09:20.832246+00:00,NO_RUN_SCOPED_ID_AVAILABLE,MORNING_RUN_UNPROVEN
923104,Yarmouth,5.00,NO_RPR_SHADOW,sqpe_no_rpr_shadow,Adalida,1,0.6982,A,CASH_RUN,,2.5,,1,False,evidence_staging/2026-07-15/data/reports/radical_shadow_2026_07_15.json,2026-07-15T14:09:20.832246+00:00,NO_RUN_SCOPED_ID_AVAILABLE,MORNING_RUN_UNPROVEN
923088,Bath,5.05,NO_RPR_SHADOW,sqpe_no_rpr_shadow,Havana Club,1,0.5387,A,CASH_RUN,,3.25,,1,False,evidence_staging/2026-07-15/data/reports/radical_shadow_2026_07_15.json,2026-07-15T14:09:20.832246+00:00,NO_RUN_SCOPED_ID_AVAILABLE,MORNING_RUN_UNPROVEN
923098,Lingfield,5.20,NO_RPR_SHADOW,sqpe_no_rpr_shadow,Probation,1,0.4649,C,PASS,,2.25,,1,False,evidence_staging/2026-07-15/data/reports/radical_shadow_2026_07_15.json,2026-07-15T14:09:20.832246+00:00,NO_RUN_SCOPED_ID_AVAILABLE,MORNING_RUN_UNPROVEN
924611,Killarney,5.30,NO_RPR_SHADOW,sqpe_no_rpr_shadow,Minaun View,1,0.4933,B,PASS,,4.0,,1,False,evidence_staging/2026-07-15/data/reports/radical_shadow_2026_07_15.json,2026-07-15T14:09:20.832246+00:00,NO_RUN_SCOPED_ID_AVAILABLE,MORNING_RUN_UNPROVEN
923105,Yarmouth,5.35,NO_RPR_SHADOW,sqpe_no_rpr_shadow,Splash,1,0.375,C,PASS,,6.0,,1,False,evidence_staging/2026-07-15/data/reports/radical_shadow_2026_07_15.json,2026-07-15T14:09:20.832246+00:00,NO_RUN_SCOPED_ID_AVAILABLE,MORNING_RUN_UNPROVEN
923097,Lingfield,5.50,NO_RPR_SHADOW,sqpe_no_rpr_shadow,Brunhilde,1,0.5025,B,NO_BET_SHADOW,,1.14,,1,False,evidence_staging/2026-07-15/data/reports/radical_shadow_2026_07_15.json,2026-07-15T14:09:20.832246+00:00,NO_RUN_SCOPED_ID_AVAILABLE,MORNING_RUN_UNPROVEN
923099,Lingfield,6.20,NO_RPR_SHADOW,sqpe_no_rpr_shadow,Fire Thunder,1,0.6765,A,WIN_CANDIDATE_SHADOW,,1.25,,1,False,evidence_staging/2026-07-15/data/reports/radical_shadow_2026_07_15.json,2026-07-15T14:09:20.832246+00:00,NO_RUN_SCOPED_ID_AVAILABLE,MORNING_RUN_UNPROVEN
924613,Killarney,6.30,NO_RPR_SHADOW,sqpe_no_rpr_shadow,Kalir,1,0.4442,A,PASS,,4.0,,1,False,evidence_staging/2026-07-15/data/reports/radical_shadow_2026_07_15.json,2026-07-15T14:09:20.832246+00:00,NO_RUN_SCOPED_ID_AVAILABLE,MORNING_RUN_UNPROVEN
