race_id,course,off_time,specialist,signal_type,predicted_horse,horse_id,score,actual_winner,hit,final_sp,timing_safety,source_artifact
923092,Catterick,2.10,IMPROVEMENT_MODEL,specialist_score,Ruler Of The River,4568900,0.1244,Palazzo Persico,False,81.0,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
923092,Catterick,2.10,MARKET_DECEPTION_MODEL,specialist_score,Made All,5289576,0.093,Palazzo Persico,False,1.53,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
923092,Catterick,2.10,RPDC_LEADER,heuristic,Made All,5289576,1.8,Palazzo Persico,False,1.53,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
923093,Catterick,2.40,PLACE_MODEL,calibrated_model,South West,9340079,0.9943,South West,True,2.88,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
923093,Catterick,2.40,LONGSHOT_MODEL,calibrated_model,Cheeky Chesca,9115658,0.5153,South West,False,4.0,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
923093,Catterick,2.40,IMPROVEMENT_MODEL,specialist_score,South West,9340079,0.5423,South West,True,2.88,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
923093,Catterick,2.40,MARKET_DECEPTION_MODEL,specialist_score,South West,9340079,0.347,South West,True,2.88,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
923093,Catterick,2.40,RPDC_LEADER,heuristic,South West,9340079,1.2,South West,True,2.88,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
923095,Catterick,3.10,PLACE_MODEL,calibrated_model,Lady Dublin,9092904,0.9409,Lady Dublin,True,3.0,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
923095,Catterick,3.10,LONGSHOT_MODEL,calibrated_model,Lady Dublin,9092904,0.0642,Lady Dublin,True,3.0,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
923095,Catterick,3.10,IMPROVEMENT_MODEL,specialist_score,Lady Dublin,9092904,0.0123,Lady Dublin,True,3.0,STRICT_PRE_RACE_PROVEN,"runner_snapshots (morning, immutable)"
