race_id,course,off_time,model,lane,predicted_horse,horse_id,prediction_rank,prediction_score,decision_tier,product,final_sp,finishing_position,non_runner,source_artifact,generated_at,prediction_run_id,timing_safety,source_row_sha256
923105,Yarmouth,5.35,NEW_BUILD,lane_a,Rogue Exile,,1,0.171046,LOW_DATA,LOW_DATA,4.0,2,False,two_lane_readiness_2026_07_15.json (single mutable file),2026-07-15T14:09:30.916443Z,NO_RUN_SCOPED_ID_AVAILABLE,AFTERNOON_PRE_RACE_PROVEN,
924612,Killarney,6.00,NEW_BUILD,lane_a,South Dakota,,1,0.195818,NO_EDGE,NO_EDGE,1.73,3,False,two_lane_readiness_2026_07_15.json (single mutable file),2026-07-15T14:09:30.916443Z,NO_RUN_SCOPED_ID_AVAILABLE,AFTERNOON_PRE_RACE_PROVEN,
923103,Yarmouth,6.10,NEW_BUILD,lane_a,War Gaming,,1,0.151929,LOW_DATA,LOW_DATA,2.25,3,False,two_lane_readiness_2026_07_15.json (single mutable file),2026-07-15T14:09:30.916443Z,NO_RUN_SCOPED_ID_AVAILABLE,AFTERNOON_PRE_RACE_PROVEN,
924613,Killarney,6.30,NEW_BUILD,lane_a,Elusive Path,,1,0.10958,SUPPRESS,SUPPRESS,2.5,3,False,two_lane_readiness_2026_07_15.json (single mutable file),2026-07-15T14:09:30.916443Z,NO_RUN_SCOPED_ID_AVAILABLE,AFTERNOON_PRE_RACE_PROVEN,
923102,Yarmouth,6.40,NEW_BUILD,lane_a,Sea Suite,,1,0.196726,FRAME_TRUST,FRAME_TRUST,3.75,2,False,two_lane_readiness_2026_07_15.json (single mutable file),2026-07-15T14:09:30.916443Z,NO_RUN_SCOPED_ID_AVAILABLE,AFTERNOON_PRE_RACE_PROVEN,
923107,Yarmouth,7.10,NEW_BUILD,lane_a,Spaceage Love Song,,1,0.132018,LOW_DATA,LOW_DATA,3.0,2,False,two_lane_readiness_2026_07_15.json (single mutable file),2026-07-15T14:09:30.916443Z,NO_RUN_SCOPED_ID_AVAILABLE,AFTERNOON_PRE_RACE_PROVEN,
923101,Lingfield,7.50,NEW_BUILD,lane_a,Mister Moet,,1,0.370943,WIN_TRUST,WIN_TRUST,2.5,2,False,two_lane_readiness_2026_07_15.json (single mutable file),2026-07-15T14:09:30.916443Z,NO_RUN_SCOPED_ID_AVAILABLE,AFTERNOON_PRE_RACE_PROVEN,
923092,Catterick,2.10,NO_RPR_GENUINE,sqpe_no_rpr_shadow,Made All,5289576,1,0.2055,,,1.53,3,False,"runner_snapshots (morning, immutable) sqpe_no_rpr_shadow_prob field",2026-07-15T08:46:03.598813+00:00,2026_07_15_aef63056_1784105122721,STRICT_PRE_RACE_PROVEN,a3bb04fe60bcd5d8e979876e4105660152b22993de5443b0433dc9ad88ec7b02
922985,Uttoxeter,3.18,NO_RPR_GENUINE,sqpe_no_rpr_shadow,Sony Bill,5809801,1,0.3077,,,13.0,3,False,"runner_snapshots (morning, immutable) sqpe_no_rpr_shadow_prob field",2026-07-15T08:46:03.598813+00:00,2026_07_15_aef63056_1784105122721,STRICT_PRE_RACE_PROVEN,fccdbdbca69b3fd49bd22034aee63b09b3288e0c57780029e62900e16cac4c7c
923091,Catterick,3.40,NO_RPR_GENUINE,sqpe_no_rpr_shadow,Two Commanders,9249229,1,0.1353,,,3.0,3,False,"runner_snapshots (morning, immutable) sqpe_no_rpr_shadow_prob field",2026-07-15T08:46:03.598813+00:00,2026_07_15_aef63056_1784105122721,STRICT_PRE_RACE_PROVEN,a60f3094525b750875c91c13fb63747534933424cf05491513985c8c70eb446f
922987,Uttoxeter,4.18,NO_RPR_GENUINE,sqpe_no_rpr_shadow,Le Gentleman,6577916,1,0.1881,,,3.25,3,False,"runner_snapshots (morning, immutable) sqpe_no_rpr_shadow_prob field",2026-07-15T08:46:03.598813+00:00,2026_07_15_aef63056_1784105122721,STRICT_PRE_RACE_PROVEN,dd361eea8af6d387d03fa563bae68783ed802714f1b26dc84723d0927790a489
923094,Catterick,4.40,NO_RPR_GENUINE,sqpe_no_rpr_shadow,South Shore,5045864,1,0.1257,,,2.38,2,False,"runner_snapshots (morning, immutable) sqpe_no_rpr_shadow_prob field",2026-07-15T08:46:03.598813+00:00,2026_07_15_aef63056_1784105122721,STRICT_PRE_RACE_PROVEN,b2257267e3784c3501afc34391baa420e14802c0997cc6617480eca22922c246
922989,Uttoxeter,4.48,NO_RPR_GENUINE,sqpe_no_rpr_shadow,Camshaft,8607161,1,0.1155,,,4.5,3,False,"runner_snapshots (morning, immutable) sqpe_no_rpr_shadow_prob field",2026-07-15T08:46:03.598813+00:00,2026_07_15_aef63056_1784105122721,STRICT_PRE_RACE_PROVEN,31507d51ae72eaa637d8e7ed5f61eb4016b76ca10a4750177cb7cde32527d9c0
923088,Bath,5.05,NO_RPR_GENUINE,sqpe_no_rpr_shadow,Thai Princess,8949367,1,0.1636,,,5.5,3,False,"runner_snapshots (morning, immutable) sqpe_no_rpr_shadow_prob field",2026-07-15T08:46:03.598813+00:00,2026_07_15_aef63056_1784105122721,STRICT_PRE_RACE_PROVEN,8a944acbc131ca04ea9eed6ccc186f035214fe43af1000db89fc1c4aab8d4ed6
923098,Lingfield,5.20,NO_RPR_GENUINE,sqpe_no_rpr_shadow,Golden Orbit,8174731,1,0.3891,,,1.83,2,False,"runner_snapshots (morning, immutable) sqpe_no_rpr_shadow_prob field",2026-07-15T08:46:03.598813+00:00,2026_07_15_aef63056_1784105122721,STRICT_PRE_RACE_PROVEN,a180c3d34403596c1afdb1385a8bc71cbf0c87229d952963962f87d0eaca6542
923105,Yarmouth,5.35,NO_RPR_GENUINE,sqpe_no_rpr_shadow,Sterling Fortune,9189368,1,0.1782,,,7.5,3,False,"runner_snapshots (morning, immutable) sqpe_no_rpr_shadow_prob field",2026-07-15T08:46:03.598813+00:00,2026_07_15_aef63056_1784105122721,STRICT_PRE_RACE_PROVEN,e9c7ae8634e7c7389baac3c3ef462e5ef779d80722fbe7e54088faa856eb030a
923100,Lingfield,6.50,NO_RPR_GENUINE,sqpe_no_rpr_shadow,Ron's Angel,9184996,1,0.1888,,,2.5,2,False,"runner_snapshots (morning, immutable) sqpe_no_rpr_shadow_prob field",2026-07-15T08:46:03.598813+00:00,2026_07_15_aef63056_1784105122721,STRICT_PRE_RACE_PROVEN,23c1fbae6335f38a94cce5a7b4b63c3eda38a1cb15d651a6e52c8a88b2b798d2
923096,Lingfield,7.20,NO_RPR_GENUINE,sqpe_no_rpr_shadow,Classic Encounter,5234275,1,0.2461,,,2.2,3,False,"runner_snapshots (morning, immutable) sqpe_no_rpr_shadow_prob field",2026-07-15T08:46:03.598813+00:00,2026_07_15_aef63056_1784105122721,STRICT_PRE_RACE_PROVEN,96c5ca001b0b99cf543f9b5eb4d0d1c27c110e2850d7d54b0a4586a15962b3f5
923101,Lingfield,7.50,NO_RPR_GENUINE,sqpe_no_rpr_shadow,Mister Moet,7445337,1,0.3614,,,2.5,2,False,"runner_snapshots (morning, immutable) sqpe_no_rpr_shadow_prob field",2026-07-15T08:46:03.598813+00:00,2026_07_15_aef63056_1784105122721,STRICT_PRE_RACE_PROVEN,2b1650ae7ddc5097d597567c343d436275e9b96a5bfc0dbefb5bc90a08865778
