feature,importance
rpr_vs_field,0.4094425917909851
rpr_num,0.09739062446912498
log_sp,0.06740530895587539
implied_prob,0.06543126025239755
sp_dec,0.05780769145532753
ts_num,0.04708221395872256
sp_rank,0.04284778059130832
or_num,0.04101261463223053
field_size,0.028782270668639625
or_vs_field,0.02465570688640986
wgt_lbs,0.024550735868412624
class_num,0.015210396872143626
is_fav,0.014832135930377997
draw_pct,0.008094120902097135
draw_num,0.007836668434570168
dist_f,0.006745569420531096
distance_fit_score,0.005074729062745369
mark_compression_score,0.005033609388211053
odds_contraction_score,0.004235129341519401
trainer_timing_score,0.003932616093236167
age_num,0.003709956020439985
going_code,0.003353589549288587
curr_or_minus_best_or,0.0029491982628703436
is_aw,0.00200710691390882
going_fit_score,0.0014348233190721927
odds_resilience_score,0.0014165251451235363
decoy_support_flag,0.0013697396960322707
course_fit_score,0.001190758648497687
quiet_run_score,0.001129128728961844
curr_or_minus_last_win_or,0.0009010309063376003
setup_run_flag,0.0005766857470159006
class_delta,0.0005218630591505157
days_since_run,0.0005053200950610808
runs_since_mkt_support,0.0005028277168617325
runs_since_win,0.00045785909065239436
runs_since_place,0.0003359434794443053
release_window_score,0.00012662396473376547
jockey_switch_intent,8.820536836289612e-05
cash_run_flag,1.903931331858474e-05
