date,race_id,course,off,velo_top_pick,velo_outcome,velo_assigned_product,velo_ew_outcome,velo_miss_class,norpr_top_pick,norpr_prob,norpr_outcome,norpr_miss_class,nb_top_pick,nb_prob,nb_outcome,nb_miss_class,champion_top_pick,champion_prob,champion_outcome,champion_miss_class,winner,winner_sp,top3
2026-07-14,924640,Killarney,6.10,Cause I Like You,WIN,VISION_ONLY,,,Wicklow Gap,0.1022,MISS,mid_priced_won,,,NO_DATA,,,,NO_DATA,,Cause I Like You,4.33,Cause I Like You|Zheleznaya Dama|Beau Army
2026-07-14,924641,Killarney,6.40,Elusive Duke,MISS,VISION_ONLY,,outsider_won,Majestic King,0.0864,MISS,outsider_won,,,NO_DATA,,,,NO_DATA,,Red Hugh O'Donnell,34.0,Red Hugh O'Donnell|Mythical Rock|No More Porter
2026-07-14,924642,Killarney,7.10,Speckled Meadow,MISS,PASS,,mid_priced_won,Ankara,0.1255,PLACE,,,,NO_DATA,,,,NO_DATA,,Saga Gaga,4.0,Saga Gaga|Spanish Temptress|Ankara
2026-07-14,924643,Killarney,7.40,Gaoth Chuil,WIN,VISION_ONLY,,,Tribal Star,0.1498,PLACE,,,,NO_DATA,,,,NO_DATA,,Gaoth Chuil,2.88,Gaoth Chuil|Tribal Star|Satono Chevalier
2026-07-14,924644,Killarney,8.10,Eagle Fang,WIN,VISION_ONLY,,,Arch Empire,0.1063,MISS,short_fav_won,,,NO_DATA,,,,NO_DATA,,Eagle Fang,2.88,Eagle Fang|Sunny South West|Path d'Oroux
2026-07-14,923082,Leicester,1.54,Emerald Bay,WIN,PASS,,,Bluestone Lady,0.1173,MISS,mid_priced_won,,,NO_DATA,,,,NO_DATA,,Emerald Bay,5.5,Emerald Bay|Hamdani Mokhater|Tiger In The Tree
2026-07-14,923077,Leicester,2.24,Siwa Oasis,MISS,VISION_ONLY,,mid_priced_won,Kudos Too,0.1499,PLACE,,,,NO_DATA,,,,NO_DATA,,Amazonica,5.0,Amazonica|Cloud Forest|Kudos Too
2026-07-14,923079,Leicester,2.54,Betelgeuse,MISS,VISION_ONLY,,short_fav_won,Betelgeuse,0.1673,MISS,short_fav_won,,,NO_DATA,,,,NO_DATA,,Ottoman,2.62,Ottoman|Joanna Hiffernan|Trojan Truth
2026-07-14,923081,Leicester,3.24,Dottie Diamond,WIN,VISION_ONLY,,,Nzuri,0.1782,MISS,mid_priced_won,,,NO_DATA,,,,NO_DATA,,Dottie Diamond,4.0,Dottie Diamond|Dreambird Dolly|The Bear Of Saints
2026-07-14,923080,Leicester,3.57,Musical Soldier,PLACE,VISION_ONLY,,,Musical Soldier,0.1698,PLACE,,,,NO_DATA,,,,NO_DATA,,Gal,4.33,Gal|Musical Soldier|Arvana Belle
2026-07-14,923078,Leicester,4.30,Melody De Vega,WIN,VISION_ONLY,,,Melody De Vega,0.2443,WIN,,,,NO_DATA,,,,NO_DATA,,Melody De Vega,2.75,Melody De Vega|Fille Imbassee|Hot Silk
2026-07-14,923083,Leicester,5.04,Marisitta,MISS,VISION_ONLY,,mid_priced_won,Manhattan Chute,0.1032,WIN,,,,NO_DATA,,,,NO_DATA,,Manhattan Chute,6.5,Manhattan Chute|Bullington Bry|Rogue Rebellion
2026-07-14,924691,Longchamp,6.37,Pink Panthera,PLACE,PASS,,,Proxima Du Centaur,0.1782,MISS,short_fav_won,,,NO_DATA,,,,NO_DATA,,Behrayna,1.6,Behrayna|Pink Panthera|Dispatches
2026-07-14,924692,Longchamp,7.15,Maltese Cross,WIN,VISION_ONLY,,,Maltese Cross,0.1286,WIN,,,,NO_DATA,,,,NO_DATA,,Maltese Cross,3.8,Maltese Cross|Ancient Egypt|Alam
2026-07-14,924693,Longchamp,7.50,Double Major,PLACE,PASS,,,Parachutiste,0.1489,PLACE,,,,NO_DATA,,,,NO_DATA,,Sons And Lovers,2.6,Sons And Lovers|Parachutiste|Double Major
2026-07-14,923387,Wolverhampton (AW),4.53,Desert Belle,PLACE,PASS,,,Rose Cotton,0.116,PLACE,,,,NO_DATA,,,,NO_DATA,,Lady Magu,4.0,Lady Magu|Desert Belle|Rose Cotton
2026-07-14,923386,Wolverhampton (AW),5.25,George Wickham,WIN,PASS,,,Just Dreaming,0.0963,MISS,short_fav_won,,,NO_DATA,,,,NO_DATA,,George Wickham,2.88,George Wickham|Sugar Sugar|Thorpe Green
2026-07-14,923384,Wolverhampton (AW),5.55,Rascal Recknell,MISS,PASS,,outsider_won,Night Storm,0.1086,MISS,outsider_won,,,NO_DATA,,,,NO_DATA,,Jungle Drums,34.0,Jungle Drums|Twilight Fun|American Style
2026-07-14,923383,Wolverhampton (AW),6.25,Wilbur,PLACE,WIN_ONLY,,,Charlemont GG,0.093,MISS,outsider_won,,,NO_DATA,,,,NO_DATA,,La Fuerza,12.0,La Fuerza|Wilbur|Waakabb
2026-07-14,923385,Wolverhampton (AW),6.55,Adelaide Bay,MISS,VISION_ONLY,,mid_priced_won,Dancing With Drums,0.0983,MISS,mid_priced_won,,,NO_DATA,,,,NO_DATA,,On Key,5.0,On Key|Midnight's Dream|Blackjack
2026-07-14,924699,Wolverhampton (AW),7.25,Classy Clarets,WIN,VISION_ONLY,,,Classy Clarets,0.1118,WIN,,,,NO_DATA,,,,NO_DATA,,Classy Clarets,1.57,Classy Clarets|Cooramook|Whitesnake
