label,total_cands,n,wins,sr,fr,pl,roi,avg_sp,avg_vp,max_drawdown,longest_losing_run,lane_state,status,freeze,threshold_msg,run_ts
V1_BASE,261,251,89,35.46,74.9,7.12,2.84,2.942,0.448,-26.24,16,LANE_ACTIVE,SHADOW_BUILDING,False,"→ WATCHLIST: needs +0 results, Frame≥75%",2026-07-14 23:13 UTC
V2_CLASS4_ONLY,251,241,86,35.68,74.27,9.14,3.79,2.948,0.45,-26.24,16,WATCHLIST,WATCHLIST,False,"→ SHADOW_CANDIDATE: needs +0 results, Frame≥75%",2026-07-14 23:13 UTC
V6_GOLD_SEAM,99,94,29,30.85,62.77,10.75,11.44,3.511,0.462,-18.25,11,LANE_FROZEN,LANE_FROZEN — FRAME_BELOW_70_AT_N20+,True,"→ PAPER_EXECUTION: needs +0 results, Frame≥75%",2026-07-14 23:13 UTC
