feature,importance
rpr_vs_field,0.3967080740810123
implied_prob,0.1122889010219586
rpr_num,0.10195862515672627
log_sp,0.06651601678646477
sp_dec,0.056376307548219685
or_num,0.0420354544615814
ts_num,0.03610880858140124
wgt_lbs,0.02715838553379556
field_size,0.02649388352112074
or_vs_field,0.026364794369632887
is_fav,0.020885184576793944
sp_rank,0.01787390051523965
class_num,0.015264387914077707
draw_num,0.007158791874289628
draw_pct,0.006671575111331408
dist_f,0.006128955572876697
odds_contraction_score,0.004346640966239854
mark_compression_score,0.004339076121805469
trainer_timing_score,0.003632796425670909
going_code,0.003136834470142555
distance_fit_score,0.0031268192901585143
age_num,0.002862291088196994
going_fit_score,0.002838995139628482
curr_or_minus_best_or,0.0025077760575210693
is_aw,0.0016448227303833178
curr_or_minus_last_win_or,0.0012590188722306052
odds_resilience_score,0.0010104179709407445
decoy_support_flag,0.0009858211609281816
runs_since_mkt_support,0.00047952948495554596
course_fit_score,0.0004383849126495159
runs_since_place,0.0003322658136523511
quiet_run_score,0.0003165905755403903
setup_run_flag,0.0003136091536165373
runs_since_win,0.00019619137908895052
release_window_score,0.0001554541130296021
jockey_switch_intent,6.520057937654864e-05
cash_run_flag,1.9417067721524556e-05
