Name,Year,Sex,Sire,Dam,Trainer,"Flat rating","Diff Flat","Flat Clltrl","AWT rating","Diff AWT","AWT Clltrl","Chase rating","Diff Chase","Chase Clltrl","Hurdle rating","Diff Hurdle","Hurdle Clltrl"
"ANOTHER BAAR (GB)",2020,GELDING,"MAYSON (GB)","RAPID RECRUIT (IRE)","Adrian Keatley",98,new,,,,,,,,,,
"ANTIPODES (IRE)",2022,GELDING,"STARSPANGLEDBANNER (AUS)","ALBEMARLE (GB)","Roger Varian",94,+6,,,,,,,,,,
"APPLE'S ANGEL (IRE)",2022,FILLY,"KAMEKO (USA)","LA DERNIERE FOIS (IRE)","Jim Boyle",47,-2,,,,,,,,,,
"AQUAMAN (GER)",2022,COLT,"CRACKSMAN (GB)","AUCTORITA (GER)","Richard Bandey",94,new,,,,,,,,,,
"AQWAAM (GB)",2018,GELDING,"SEA THE STARS (IRE)","AGHAANY (GB)","Ian Williams",88,-2,,,,,,,,,,
"ARABIAN CROWN (FR)",2021,GELDING,"DUBAWI (IRE)","DUBAI ROSE (GB)","Charlie Appleby",107,new,,,,,,,,,,
"ARBITRATION (IRE)",2022,GELDING,"BECKFORD (GB)","ORPHAN ANNIE (IRE)","Joe Tizzard",76,,,,,,,,,105,new,
"ARCHDUKE FERDINAND (IRE)",2019,GELDING,"GUTAIFAN (IRE)","SALARIAQ (USA)","Seb Spencer",78,-1,,,,,,,,,,
"ARCHER ROYAL (IRE)",2023,GELDING,"BLUE POINT (IRE)","AHD (USA)","John & Thady Gosden",92,-5,,,,,,,,,,
"ARGY BHAJI (GB)",2023,GELDING,"ARDAD (IRE)","BHANGRA (GB)","James Fanshawe",67,+1,,,,,,,,,,
"ARTHUR'S QUAY (IRE)",2014,GELDING,"BEAT HOLLOW (GB)","BANNOW GIRL (IRE)","Ben Haslam",,,,,,,112,-1,,,,
"ASCENDING STAR (IRE)",2023,GELDING,"STARMAN (GB)","DENSE STAR (IRE)","Owen Burrows",80,new,,,,,,,,,,
"ASMEN WARRIOR (IRE)",2022,GELDING,"SAXON WARRIOR (JPN)","FAIR SAILING (IRE)","James Owen",92,+4,,,,,,,,,,
