Name,Year,Sex,Sire,Dam,Trainer,"Flat rating","Diff Flat","Flat Clltrl","AWT rating","Diff AWT","AWT Clltrl","Chase rating","Diff Chase","Chase Clltrl","Hurdle rating","Diff Hurdle","Hurdle Clltrl"
"CHER MONSIEUR (FR)",2020,GELDING,"CASTLE DU BERLAIS (FR)","MA CHERE AMIE (FR)","Neil Mulholland",,,,,,,93,+3,,93,+3,
"CHER TARA (IRE)",2019,FILLY,"KAYF TARA (GB)","ROCK CHICK SUPREMO (IRE)","Daragh Bourke",,,,,,,,,,86,-3,
"CHERRY BAKER (GB)",2023,FILLY,"HARRY ANGEL (IRE)","BUTSOVA (IRE)","James Owen",89,+4,,,,,,,,,,
"CHICAGO STORM (GB)",2019,GELDING,"DABIRSIM (FR)","HOH MY DARLING (GB)","Barry Murtagh",66,,,,,,100,new,,100,-1,collateral
"CHILLHI (IRE)",2020,GELDING,"CHURCHILL (IRE)","HI KATRIONA (IRE)","Barry Murphy",58,,,,,,,,,97,-3,
"CHURCHMAN (GB)",2018,GELDING,"DUNADEN (FR)","PICKERSLEIGH (IRE)","Alastair Ralph",,,,,,,,,,77,+1,
"CINDERELLO (GB)",2020,FILLY,"DOYEN (IRE)","FERNELLO (GB)","Alex Hales",,,,,,,,,,89,+6,
"CINNODIN (GB)",2020,GELDING,"ANODIN (IRE)","CINNILLA (GB)","Jamie Snowden",,,,,,,,,,104,+2,
"CLASSIC ENCOUNTER (IRE)",2021,GELDING,"SHAMARDAL (USA)","ZHUKOVA (IRE)","George Boughey",88,+4,,,,,,,,,,
"CLAYMORE (FR)",2019,GELDING,"NEW BAY (GB)","BRIT WIT (GB)","Jane Chapple-Hyam",94,-1,,,,,,,,,,
"CLEAN GETAWAY (IRE)",2017,GELDING,"GETAWAY (GER)","DEE TWO O TWO (IRE)","Philip Kirby",,,,,,,89,-1,,86,-1,
"CLEVER RELATION (GB)",2020,GELDING,"INTELLO (GER)","SWEET SELECTION (GB)","Christian Williams",,,,,,,,,,85,new,
"CLIPSHAM NOBLE (IRE)",2022,GELDING,"MEHMAS (IRE)","NOT MISBEGOTTEN (IRE)","Charlie Clover",50,+4,,,,,,,,,,
"CLOUDS HILL (IRE)",2022,COLT,"CRACKSMAN (GB)","CALARE (IRE)","Charlie Johnston",86,-1,,,,,,,,,,
"CLOVA ROYALE (GB)",2023,GELDING,"TERRITORIES (IRE)","PALME ROYALE (IRE)","Peter Niven",52,new,,,,,,,,,,
"COAST (GB)",2019,FILLY,"ACLAIM (IRE)","RIO'S CLIFFS (GB)","Scott Dixon",44,+3,,,,,,,,,,
"COCKNEY CLEOPATRA (IRE)",2021,FILLY,"AFFINISEA (IRE)","HIGH SOCIETY GIRL (IRE)","Jim & Suzi Best",,,,,,,,,,101,-4,
"COEDANA (IRE)",2022,FILLY,"KING OF CHANGE (GB)","ACTS OUT LOUD (USA)","Edward Bethell",103,+7,,,,,,,,,,
"COME ON OVER (IRE)",2023,GELDING,"KODIAC (GB)","NO LIPPY (IRE)","David O'Meara",65,-3,,,,,,,,,,
"COMIC HERO (IRE)",2023,GELDING,"SAXON WARRIOR (JPN)","SENSE OF HUMOUR (GB)","Andrew Balding",82,+2,collateral,,,,,,,,,
"COMPRADOR (GB)",2023,COLT,"NO NAY NEVER (USA)","MARSH HAWK (GB)","Antony Brittain",71,-1,,,,,,,,,,
"CONDOTTI (IRE)",2022,GELDING,"SOLDIER'S CALL (GB)","FAST PICK (IRE)","Hugo Palmer",60,-3,,,,,,,,,,
"CONNIE'S ROSE (GB)",2019,FILLY,"ADAAY (IRE)","SING SO SWEETLY (GB)","Grace Harris",65,+1,,,,,,,,,,
"COOLAGH MAGIC (GB)",2016,GELDING,"SEPOY (AUS)","MILIIKA (GB)","Anthony Carson",46,-2,,51,-2,,,,,,,
"COOLREE (IRE)",2019,GELDING,"MONDIALISTE (IRE)","QUAICH (GB)","Sam England",69,+1,,,,,,,,,,
"CORRESPONDENCE (GB)",2022,GELDING,"WAR FRONT (USA)","WALK IN MARRAKESH (IRE)","Tony Carroll",68,+1,,,,,,,,,,
"CORSICAN CAPER (IRE)",2020,GELDING,"FAST COMPANY (IRE)","KANSHE (IRE)","Kevin & Lauren Frost",48,,,,,,,,,103,+6,
"COSMO BROWN (IRE)",2023,COLT,"GHAIYYATH (IRE)","COSMIC APPROACH (IRE)","William Muir & Chris Grassick",72,new,,,,,,,,,,
"COSMOS RAJ (GB)",2018,GELDING,"IFFRAAJ (GB)","COSMOS PINK (GB)","David O'Meara",74,-2,,,,,,,,,,
"COUGAR FORCE (GB)",2023,FILLY,"LAND FORCE (IRE)","BYRONESS (GB)","Heather Main",47,+2,,,,,,,,,,
"COUNTRY ARTISTE (IRE)",2023,FILLY,"SUPREMACY (IRE)","SOUTHERN GAL (USA)","Craig Lidster",62,-3,,,,,,,,,,
"COUP DE COEUR (FR)",2018,GELDING,"NO RISK AT ALL (FR)","CESARINE PALACE (FR)","Micky Hammond",,,,,,,131,+4,,,,
"COURT IN A STORM (IRE)",2019,GELDING,"COURT CAVE (IRE)","AIMIGAYLE (GB)","Kim Bailey & Mat Nicholls",,,,,,,118,+3,,118,+3,
"CRAC DE MEGAUDAIS (FR)",2019,GELDING,"SADDEX (GB)","KAUTO ETOILEE (FR)","Tom Gretton",,,,,,,75,-5,,,,
"CRAFTER (IRE)",2018,GELDING,"MUHAARAR (GB)","BOSTON ROCKER (IRE)","Mark Loughnane",52,-2,,,,,,,,,,
"CRAZY ABOUT HER (IRE)",2020,FILLY,"VADAMOS (FR)","GRAVINA (GB)","Jake Coulson",,,,,,,,,,84,new,
"CRAZY PLAN (GB)",2023,FILLY,"PLANTEUR (IRE)","TRONADA (GB)","Dan Horsford",51,new,,,,,,,,,,
"CREBILLY (IRE)",2017,GELDING,"SOLDIER OF FORTUNE (IRE)","BLUEBERRY BRAMBLE (IRE)","Jonjo & A.J. O'Neill",,,,,,,,,,124,+4,
"CRECIENTE (GB)",2023,FILLY,"LOPE Y FERNANDEZ (IRE)","INCREASING (IRE)","Rod Millman",53,-2,,,,,,,,,,
"CREPE SUZETTE (IRE)",2022,FILLY,"SAXON WARRIOR (JPN)","SULTANINA (GB)","John & Thady Gosden",101,-2,,,,,,,,,,
"CREST OF FIRE (IRE)",2023,GELDING,"PHOENIX OF SPAIN (IRE)","CHICITA BANANA (GB)","Jack Channon",91,+5,,,,,,,,,,
"CRIMSON RAMBLER (GB)",2023,GELDING,"BATED BREATH (GB)","INFANTA ISABELLA (GB)","Matt Crawley",68,-1,,,,,,,,,,
"CROCKHAM HEATH (GB)",2023,COLT,"SEA THE MOON (GER)","ULTRAMARINE (FR)","Andrew Balding",84,+4,,,,,,,,,,
"CROCUS TIME (IRE)",2021,FILLY,"ACCLAMATION (GB)","KISS OF SPRING (IRE)","Ron Barr",57,+5,,,,,,,,,,
"CROWN OF INDIA (IRE)",2021,GELDING,"CAMELOT (GB)","QUEEN OF INDIA (IRE)","Alex Hales",,,,,,,,,,93,+4,
"CROWNRIGHT (GB)",2023,FILLY,"FRANKEL (GB)","ENVIRONS (GB)","Ralph Beckett",83,new,,,,,,,,,,
"CRYSTAL AURORA (IRE)",2023,FILLY,"ALKUMAIT (GB)","CRYSTAL DREAM (GB)","Ivan Furtado",53,-2,,,,,,,,,,
"CULLIGRAN (IRE)",2019,FILLY,"NOTNOWCATO (GB)","MOONLIT THEATRE (IRE)","D. J. Jeffreys",,,,,,,86,new,,,,
"CURIOUS ROVER (IRE)",2021,GELDING,"THE IRISH ROVER (IRE)","ONLY LIVE ONCE (GB)","Katie Scott",72,-2,,,,,,,,,,
"CUZCO DU MATHAN (FR)",2018,GELDING,"MARTALINE (GB)","THISBEE DU MATHAN (FR)","James Moffatt",,,,,,,95,-2,,,,
"DAISY ROOTS (GB)",2020,FILLY,"FOOTSTEPSINTHESAND (GB)","CAMBRIDGE DUCHESS (GB)","Jim Boyle",68,-1,,,,,,,,,,
"DALMALLY (GB)",2022,GELDING,"HIGHLAND REEL (IRE)","RESPECTFILLY (GB)","Mark Pattinson",57,-3,,,,,,,,,,
"DANCE TIME (GB)",2020,FILLY,"TIME TEST (GB)","DANCING PRIMO (GB)","David Loughnane",72,-2,,,,,,,,,,
"DANGER BAY (IRE)",2022,COLT,"NEW BAY (GB)","QUICKSAND (IRE)","Edward Bethell",102,+8,,,,,,,,,,
"DANRANA (IRE)",2023,FILLY,"DANDY MAN (IRE)","IMRANA (GB)","Fionn McSharry",60,new,,,,,,,,,,
"DAPPER GUEST (IRE)",2022,GELDING,"DANDY MAN (IRE)","SEA OF DREAMS (IRE)","George Margarson",80,-2,,87,,,,,,,,
"DAPPLED LIGHT (GB)",2020,GELDING,"TWILIGHT SON (GB)","MUMTAZA (GB)","Adrian Wintle",59,+2,collateral,,,,,,,,,
"DARING LEGEND (GB)",2021,GELDING,"DARK ANGEL (IRE)","SWISS AIR (GB)","Mark Pattinson",76,-1,,,,,,,,,,
"DARK KESTREL (IRE)",2020,GELDING,"DARK ANGEL (IRE)","GOODNIGHT AND JOY (IRE)","Antony Brittain",55,-1,,70,-2,,,,,,,
"DARK SUN (GB)",2021,FILLY,"DARK ANGEL (IRE)","SOLAR GOLD (IRE)","James Bennett",54,-1,,,,,,,,,,
"DARK TORNADO (IRE)",2021,GELDING,"DARK ANGEL (IRE)","SNOWY PEAK (GB)","Michael Wigham",90,-3,,,,,,,,,,
"DARVEL (IRE)",2018,GELDING,"DARK ANGEL (IRE)","ANTHEM ALEXANDER (IRE)","Patrick Chamings",68,-2,,,,,,,,,,
"DATA FATA SECUTUS (GB)",2023,FILLY,"UBETTABELIEVEIT (IRE)","MRS DISCOMBE (GB)","Rebecca Menzies",59,+1,,,,,,,,,,
"DAVITA BLAZE (IRE)",2021,FILLY,"JET AWAY (GB)","LUGHNASA (IRE)","Jonjo & A.J. O'Neill",,,,,,,,,,78,new,
"DAWN OF LIBERATION (IRE)",2019,GELDING,"CHURCHILL (IRE)","DANETIME OUT (IRE)","Ruth Carr",70,-1,,,,,,,,,,
"DAYDREAMA (GB)",2023,GELDING,"DREAM AHEAD (USA)","SOCIAL MEDIA (GB)","Tim Easterby",89,-1,,,,,,,,,,
"DC COGENT (GB)",2022,GELDING,"WASHINGTON DC (IRE)","ANALYTICAL (GB)","Bryan Smart",64,-1,,,,,,,,,,
"DECALOGUE (USA)",2023,GELDING,"CONSTITUTION (USA)","SUN SUMMERS (USA)","Jamie Osborne",72,new,,,,,,,,,,
"DELPOTRO (FR)",2020,GELDING,"MASKED MARVEL (GB)","TIGRINE (FR)","Charlie Longsdon",,,,,,,105,-2,,,,
"DESERT COP (GB)",2020,GELDING,"OASIS DREAM (GB)","SPEED COP (GB)","George Baker",86,-3,,,,,,,,,,
"DESERT MASTER (GB)",2021,GELDING,"BLUE POINT (IRE)","AL FAREEJ (IRE)","Antony Brittain",46,-1,,,,,,,,,,
"DIAMOND AURA (IRE)",2023,FILLY,"WOOTTON BASSETT (GB)","POSSET (GB)","Hugo Palmer",48,-4,,,,,,,,,,
"DICKENS (IRE)",2018,GELDING,"EXCELEBRATION (IRE)","OPEN BOOK (GB)","Jennie Candlish",,,,,,,,,,115,+5,
"DICKO THE LEGEND (IRE)",2020,GELDING,"ARDAD (IRE)","CALEDONIA PRINCESS (GB)","Liam Bailey",69,-1,,,,,,,,,,
"DIDEROT (GB)",2018,GELDING,"BATED BREATH (GB)","MODERN LOOK (GB)","Julie Camacho",73,-5,,85,-5,,,,,,,
"DIGITAL (IRE)",2018,GELDING,"KODI BEAR (IRE)","NOTTE ILLUMINATA (IRE)","Ruth Carr",59,-3,,,,,,,,,,
"DILIGENT RESDEV (GB)",2021,GELDING,"DUE DILIGENCE (USA)","DOOBAHDEEDOO (USA)","Michael & David Easterby",82,-1,,,,,,,,,,
"DIOMED SPIRIT (GB)",2020,GELDING,"CHARM SPIRIT (IRE)","DAINTY DANDY (IRE)","Chris Gordon",54,-2,,69,-2,,,,,,,
"DION BAKER (IRE)",2019,GELDING,"RIBCHESTER (IRE)","TIGA TUAN (FR)","Michael Wigham",55,+8,,,,,,,,,,
"DIPLOMATIC ASH (IRE)",2019,GELDING,"DOYEN (IRE)","CARRIGEEN LECHUGA (IRE)","Gary & Josh Moore",,,,,,,111,+3,,111,+3,
"DISSIDENT (GB)",2022,GELDING,"FRANKEL (GB)","EMULOUS (GB)","Gary & Josh Moore",57,-3,,,,,,,,95,,
"DISTANT SHORE (GB)",2023,FILLY,"NEW BAY (GB)","FARZEEN (GB)","Roger Varian",75,-1,,,,,,,,,,
"DIVINE KNIGHT (IRE)",2021,GELDING,"NIGHT OF THUNDER (IRE)","DIANTHA (IRE)","William Haggas",84,-2,,,,,,,,,,
"DO BRONXS (IRE)",2023,GELDING,"OASIS DREAM (GB)","LOLA SHOWGIRL (IRE)","David Loughnane",88,-1,,,,,,,,,,
"DOCTOR GLIDE (FR)",2018,GELDING,"DOCTOR DINO (FR)","CAVALIERE (FR)","Tim Vaughan",,,,,,,104,new,,104,,
"DONNA NOOK (GB)",2022,FILLY,"BATED BREATH (GB)","ROSTOVA (USA)","David O'Meara",69,-1,,,,,,,,,,
"DORA VITA (GB)",2023,FILLY,"DREAM AHEAD (USA)","ENLIVEN (GB)","Richard Phillips",49,-3,,,,,,,,,,
"DORALEE (GB)",2021,FILLY,"SWISS SPIRIT (GB)","JOFRANKA (GB)","David & Nicola Barron",48,-1,,,,,,,,,,
"DORNEY LAKE (GB)",2021,GELDING,"ARDAD (IRE)","DORA'S SISTER (IRE)","Liam Bailey",66,-2,,,,,,,,,,
"DOUBLE DIGITS (GB)",2018,GELDING,"MASTERCRAFTSMAN (IRE)","SINGING BIRD (IRE)","Ann Hamilton",,,,,,,,,,114,+2,
"DOUBLE RED (GB)",2021,GELDING,"BELARDO (IRE)","RED BOOTS (IRE)","Henry Candy",76,-1,collateral,,,,,,,,,
"DOUWANTITRIGHTNOW (IRE)",2023,FILLY,"MEHMAS (IRE)","TALIYNA (IRE)","Kevin Ryan",67,-3,,,,,,,,,,
"DREAM DEAL (GB)",2019,GELDING,"DUE DILIGENCE (USA)","TRIVENI (FR)","Tim Easterby",56,-2,,,,,,,,,,
"DREAMBIRD DOLLY (GB)",2022,FILLY,"TASLEET (GB)","QUENCH DOLLY (GB)","John Gallagher",48,+6,,,,,,,,,,
"DUBAI FUTURE (GB)",2016,GELDING,"DUBAWI (IRE)","ANJAZ (USA)","Saeed bin Suroor",113,+4,,,,,,,,,,
"DUBAI JEANIUS (IRE)",2018,GELDING,"PRIDE OF DUBAI (AUS)","TEMPURA (GER)","Michael Herrington",76,-1,collateral,,,,,,,,,
"DUBLIN BAY (IRE)",2023,GELDING,"NEW BAY (GB)","LA FIAMMA (USA)","Ollie Sangster",85,+10,,,,,,,,,,
"DUBLIN CITY (IRE)",2020,GELDING,"WALK IN THE PARK (IRE)","JOLUCY (IRE)","Julian Smith",,,,,,,,,,80,-2,
"DUE RESPECT (IRE)",2022,FILLY,"SOLDIER'S CALL (GB)","DUE CARE (GB)","Gary Rutherford",51,-1,,,,,,,,,,
"DUKE OF LUCKLEY (IRE)",2017,GELDING,"MAHLER (GB)","EMILY'S PRINCESS (IRE)","Martin Keighley",,,,,,,114,new,,,,
"DUNKERQUE (DEN)",2020,GELDING,"APPEL AU MAITRE (FR)","SILVER SEAS (DEN)","Jennie Candlish",,,,,,,122,+4,,118,,
"DUSKY DAYS (IRE)",2017,GELDING,"FLEMENSFIRTH (USA)","DAY'S OVER (GB)","James Moffatt",,,,,,,,,,95,-2,
"EARLY RELEASE (GB)",2022,GELDING,"SERGEI PROKOFIEV (CAN)","EVENING STARLIGHT (GB)","David Evans",71,+3,,,,,,,,,,
"EATON ANNE (IRE)",2018,GELDING,"GOLDEN LARIAT (USA)","EXPRESS MAIL (IRE)","Olly Murphy",,,,,,,110,,,110,new,
"ECHO OF FAITH (IRE)",2023,GELDING,"LUCKY VEGA (IRE)","OH GRACE (IRE)","Charlie Wallis",78,new,,,,,,,,,,
"ECHO OF STARS (IRE)",2023,COLT,"SEA THE STARS (IRE)","VALAIS GIRL (GB)","Oliver Cole",90,+3,,,,,,,,,,
"ECHO VALLEY (GB)",2023,FILLY,"KAMEKO (USA)","TABLE MOUNTAIN (GB)","Tom Symonds",51,-2,,,,,,,,,,
"EDERGOLE'S GIFT (IRE)",2021,FILLY,"RELIABLE MAN (GB)","IRISHSTONE (IRE)","Conrad Allen",50,-2,,,,,,,,,,
"EL FOX (GB)",2022,FILLY,"TIME TEST (GB)","AMERICAN ENDEAVOUR (USA)","Marco Botti",55,-1,,,,,,,,,,
"EL MUCHACHO (IRE)",2017,GELDING,"WALK IN THE PARK (IRE)","LA SEGNORA (FR)","Mike Sowersby",,,,,,,96,-1,,,,
"EL NAY (IRE)",2023,GELDING,"PALACE PIER (GB)","ANGHAAM (IRE)","Richard Hannon",83,-3,,,,,,,,,,
"EL PINTO (GB)",2022,GELDING,"CRACKSMAN (GB)","BITHYNIA (IRE)","Christopher Kellett",58,-2,,,,,,,,,,
"ELEMENTS OF FIRE (GB)",2022,GELDING,"TOO DARN HOT (GB)","I REMEMBER YOU (IRE)","Archie Watson",93,-1,,,,,,,,,,
"ELEMMA (IRE)",2023,FILLY,"STARMAN (GB)","PALE ORCHID (IRE)","Richard & Peter Fahey",64,new,,,,,,,,,,
"ELETTARIA (IRE)",2019,FILLY,"MEHMAS (IRE)","RAYON ROUGE (IRE)","John Wainwright",44,-1,,,,,,,,,,
"ELIGIBLE (IRE)",2016,GELDING,"DARK ANGEL (IRE)","SECRETS AWAY (IRE)","Michael & David Easterby",80,-1,,,,,,,,,,
"ELIZABETH BAY (GB)",2022,FILLY,"NEW BAY (GB)","QUITE A THING (GB)","Katie Scott",58,-4,,,,,,,,,,
"ELORA PRINCE (IRE)",2023,GELDING,"COULSTY (IRE)","ELORA PRINCESS (GER)","Adrian Wintle",46,new,,,,,,,,,,
"EMERALD REINE (GB)",2023,FILLY,"MASAR (IRE)","DIVINE QUEEN (GB)","Julia & Shelley Birkett",48,new,,,,,,,,,,
"EMPEROR CARADOC (FR)",2019,GELDING,"SIYOUNI (FR)","TRIBUNE LIBRE (IRE)","Paul Midgley",76,-1,collateral,,,,,,,,,
"ENAMORUS (IRE)",2023,FILLY,"MEHMAS (IRE)","PERFECT LIGHT (IRE)","Hugo Palmer",74,-1,,,,,,,,,,
"ENDLESS WHISPER (GB)",2020,FILLY,"TEOFILO (IRE)","ALL CLEAR (GB)","Michael & David Easterby",65,-2,,,,,,,,,,
"ENEMY (GB)",2017,GELDING,"MUHAARAR (GB)","PRUDENZIA (IRE)","Ian Williams",99,-1,,,,,,,,,,
"ENRICHER (IRE)",2023,COLT,"PROFITABLE (IRE)","DREAMING MOMENT (IRE)","William Muir & Chris Grassick",81,-2,,,,,,,,,,
"ENVIOUS EDITOR (IRE)",2014,GELDING,"AIZAVOSKI (IRE)","MOLL THE ROL (IRE)","Daniel Cherriman",,,,,,,104,new,,104,new,
"EPICTETUS (IRE)",2020,GELDING,"KINGMAN (GB)","THISTLE BIRD (GB)","Jamie Osborne",80,-1,,,,,,,,,,
"ERNST BLOFELD (IRE)",2022,GELDING,"FRANKEL (GB)","QUIDURA (GB)","Hamad Al Jehani",96,+7,,,,,,,,,,
"ERUDITION (GB)",2023,GELDING,"MEHMAS (IRE)","STRAIGHT THINKING (USA)","George Boughey",84,new,,,,,,,,,,
"ESCAPE MAGIC (GB)",2023,FILLY,"WITHOUT PAROLE (GB)","EBRAHCADEBRAH (GB)","Owen Burrows",54,+5,,,,,,,,,,
"ESCAPOLOGIST (FR)",2019,GELDING,"IT'S GINO (GER)","COMOHIO (FR)","Nick Scholfield",,,,,,,,,,115,-1,
"ESPERTI (IRE)",2017,GELDING,"PRESENTING (GB)","ELSIE (IRE)","David Rees",,,,,,,106,-1,,,,
"ETERNAL ANGEL (FR)",2020,GELDING,"AUTHORIZED (IRE)","EARTH AFFAIR (GER)","Tom Lacey",,,,,,,,,,115,+3,
"ETERNAL SOLACE (GB)",2023,FILLY,"TASLEET (GB)","YES ALWAYS (IRE)","Ollie Sangster",81,-2,,,,,,,,,,
"EVA THE DEEVA (GB)",2023,FILLY,"TERRITORIES (IRE)","ANANDA KANDA (USA)","Nigel Tinkler",48,-2,,,,,,,,,,
"EVE'S BOY (GB)",2022,GELDING,"EXPERT EYE (GB)","GIRLS TALK (IRE)","Michael Dods",67,-1,,,,,,,,,,
"EVELYN'S PHOENIX (FR)",2021,GELDING,"PHOENIX OF SPAIN (IRE)","PEBBLES PLACE (GB)","Tim Easterby",52,-2,,,,,,,,,,
"EVENWOOD SONOFAGUN (IRE)",2018,GELDING,"THE GURKHA (IRE)","RAVISH (GB)","Lizzie Quinlan",53,,,,,,,,,104,+11,
"EVERGREEN EMERALD (GB)",2023,FILLY,"MASAR (IRE)","SUMMER'S EVE (GB)","Tim Easterby",48,-2,,,,,,,,,,
"EVIE ROSS (IRE)",2023,FILLY,"COULSTY (IRE)","MACARTHURS PARK (IRE)","Clive Cox",75,-2,,,,,,,,,,
"EVOLUIR (IRE)",2021,GELDING,"CABLE BAY (IRE)","BRIGHT NEW DAY (IRE)","Micky Hammond",42,-1,,,,,,,,,,
"EXOTIC BABY (GB)",2023,GELDING,"TOO DARN HOT (GB)","RUFFLED (GB)","George Boughey",78,-1,,,,,,,,,,
"EY UP HE'S A STAR (GB)",2022,GELDING,"SOGANN (FR)","VELVET JAGUAR (GB)","Tony Coyle & Kaine Wood",58,-1,,,,,,,,,,
"FAIRLAWN FLYER (GB)",2016,GELDING,"DR MASSINI (IRE)","SHE'S OUR NATIVE (IRE)","Mickey Bowen",,,,,,,115,-1,,,,
"FAIRYDALE (IRE)",2023,FILLY,"WALDGEIST (GB)","ANGEVINE (GB)","Tim Easterby",55,-3,,,,,,,,,,
"FALCON QUEEN (IRE)",2023,FILLY,"EARTHLIGHT (IRE)","ELNADIM STAR (IRE)","R. Mike Smith",64,-2,,,,,,,,,,
"FALLONS FIRST (IRE)",2022,FILLY,"KODIAC (GB)","SEA BAY (GB)","K. R. Burke",55,-3,,,,,,,,,,
"FANDABIDOZI (IRE)",2018,GELDING,"MASTERCRAFTSMAN (IRE)","CRANKY SPANKY (IRE)","Gary Hanmer",44,,,,,,,,,102,-2,
"FAR AHEAD (IRE)",2022,GELDING,"FAR ABOVE (IRE)","SAGENESS (IRE)","Richard & Peter Fahey",47,+1,,,,,,,,,,
"FENLANDER (GB)",2021,GELDING,"TERRITORIES (IRE)","SPECIALTY (IRE)","Pam Sly",63,+4,,,,,,,,,,
"FIFTY NIFTY (IRE)",2021,GELDING,"TEN SOVEREIGNS (IRE)","LEALA (IRE)","Chelsea Banham",76,-2,,,,,,,,,,
"FILIBUSTERING (GB)",2021,GELDING,"POSTPONED (IRE)","MYSTIQUE (GB)","Harry Derham",73,-2,,,,,,,,122,+1,
"FILLE IMBASSEE (GB)",2023,FILLY,"UBETTABELIEVEIT (IRE)","SASSIE (IRE)","Julie Camacho",63,-2,,,,,,,,,,
"FILLE UNIQUE (IRE)",2023,FILLY,"KODI BEAR (IRE)","MISS VIOLETTA (FR)","Bryan Smart",68,+2,,,,,,,,,,
"FILLY FODEN (IRE)",2023,FILLY,"ARDAD (IRE)","SOME SPIRIT (IRE)","Rod Millman",62,-2,,,,,,,,,,
"FINANCER (GB)",2021,GELDING,"CRACKSMAN (GB)","ISA (GB)","Tim Easterby",75,-1,,,,,,,,,,
"FIRCOMBE HALL (GB)",2018,GELDING,"CHARMING THOUGHT (GB)","MARMOT BAY (IRE)","Philip Kirby",54,-1,,,,,,,,,,
"FIRST FOLIO (GB)",2018,GELDING,"DARK ANGEL (IRE)","LILIAN BAYLIS (IRE)","Julie Camacho",78,-2,,,,,,,,,,
"FIRST LEGION (IRE)",2023,COLT,"MEHMAS (IRE)","NAVETTE (IRE)","Richard Hannon",88,-1,,,,,,,,,,
"FIRST PRINCIPLE (GB)",2022,GELDING,"KINGMAN (GB)","GUILTY TWELVE (USA)","William Haggas",93,-2,,,,,,,,,,
"FITZMAURICE (IRE)",2022,GELDING,"WOOTTON BASSETT (GB)","ALWAYS A DREAM (GB)","Tony Carroll",46,-1,,,,,,,,,,
"FIVETHOUSANDTOONE (IRE)",2018,GELDING,"FRANKEL (GB)","PROMISED MONEY (IRE)","Tim Easterby",81,-3,,98,,,,,,,,
"FLETCHER (GB)",2023,GELDING,"WITHOUT PAROLE (GB)","INKE (IRE)","Jim Boyle",49,-2,,,,,,,,,,
"FLYBAR (IRE)",2023,FILLY,"ARDAD (IRE)","HOUSEHOLD NAME (GB)","Hugo Palmer",47,-1,,,,,,,,,,
"FLYTA (IRE)",2023,FILLY,"STARMAN (GB)","PRINCESS ROSE (GB)","Mark Loughnane",67,-3,,,,,,,,,,
"FOLK PAGEANT (GB)",2023,FILLY,"MASAR (IRE)","LADY MARIAN (GER)","Charlie Johnston",80,+6,,,,,,,,,,
"FOLLOW THE LEADER (IRE)",2019,GELDING,"SHOLOKHOV (IRE)","VINORINE (FR)","John Wainwright",,,,,,,83,new,,83,new,
"FOOD FOR THOUGHT (GB)",2023,FILLY,"DUBAWI (IRE)","THOUGHT PROCESS (GB)","Ralph Beckett",80,new,,,,,,,,,,
"FOOTLOOSE MAN (GB)",2019,GELDING,"TELESCOPE (IRE)","ALIKAT (IRE)","Richard Hobson",,,,,,,92,+8,,,,
"FOOTWORK (GB)",2022,COLT,"FOOTSTEPSINTHESAND (GB)","DE VEER CLIFFS (IRE)","Charlie Johnston",87,+1,,,,,,,,,,
"FOR LOVE OF BEAUTY (GB)",2021,FILLY,"ULYSSES (IRE)","A LEGACY OF LOVE (IRE)","Noel Williams",,,,,,,,,,73,-1,
"FORCA TIMAO (IRE)",2020,GELDING,"KESSAAR (IRE)","BELLE DIVA (IRE)","Mark Pattinson",60,-1,,,,,,,,,,
"FOREST PHOENIX (GB)",2023,GELDING,"LOPE DE VEGA (IRE)","SILK FOREST (IRE)","Tim Easterby",72,new,,,,,,,,,,
"FOREVER MY PRINCE (GB)",2022,GELDING,"SHOWCASING (GB)","ONE KISS (GB)","Michael Blake",62,-2,,,,,,,,,,
"FOUETTE (IRE)",2022,FILLY,"ACCLAMATION (GB)","SPRING LEAF (FR)","James Horton",87,-2,,,,,,,,,,
"FOX AVATAR (IRE)",2021,GELDING,"FRANKEL (GB)","COME ON LEICESTER (IRE)","Roger Varian",85,-1,,,,,,,,,,
"FOX WALLACE (IRE)",2018,FILLY,"MAHLER (GB)","BOB ROBIN (IRE)","Ella Pickard",,,,,,,69,-3,,,,
"FRANK STAMPER (GB)",2022,GELDING,"FRANKEL (GB)","SWISS DREAM (GB)","Tony Carroll",72,,,,,,,,,96,-2,
"FRANTIC (GB)",2023,FILLY,"FRANKEL (GB)","FRENETIC (IRE)","Ed Walker",72,+2,,,,,,,,,,
"FRERE D'ARMES (FR)",2017,GELDING,"BATHYRHON (GER)","VILLE SAINTE (FR)","Dan Skelton",,,,,,,110,-2,,,,
"FRONT LINE FURY (IRE)",2023,GELDING,"KODI BEAR (IRE)","BOBBI GRACE (IRE)","George Scott",83,-2,,,,,,,,,,
"FURTHUR (IRE)",2022,GELDING,"WALDGEIST (GB)","DANAMIGHT (IRE)","Andrew Balding",109,-2,,,,,,,,,,
"GAELIC APPROACH (GB)",2023,GELDING,"MASAR (IRE)","FAUGHILL (IRE)","Charlie Johnston",76,+3,,,,,,,,,,
"GAL (IRE)",2023,FILLY,"BUNGLE INTHEJUNGLE (GB)","SOMMORE (IRE)","Mark Loughnane",52,new,,,,,,,,,,
"GALILEAN QUALITY (IRE)",2023,GELDING,"TEOFILO (IRE)","DUBAI QUALITY (IRE)","K. R. Burke",85,+4,,,,,,,,,,
