Racehorse,YOF,Sex,Trainer,Latest,"2 runs ago","3 runs ago","4 runs ago","5 runs ago","6 runs ago"
"EVELYN'S GARDEN (GB)",2023,FILLY,"Katie Scott",A:39,A:x,A:x,A:x,-,-
"EVELYN'S PHOENIX (FR)",2021,GELDING,"Tim Easterby",T:41,T:41,T:49,T:55,T:54,T:32
"EVENEPOEL (IRE)",2023,GELDING,"Archie Watson",A:x,A:x,A:x,-,-,-
"EVENING BLUES (IRE)",2023,GELDING,"Stephen Hanlon",T:83,-,-,-,-,-
"EVENING SAIGON (IRE)",2022,GELDING,"Hamad Al Jehani",T:97,A:92,T:16,A:89,T:x,T:x
"EVENING TESS (GB)",2022,FILLY,"Dan Skelton",H:99,H:x,H:x,H:x,-,-
"EVENWOOD SONOFAGUN (IRE)",2018,GELDING,"Lizzie Quinlan",H:104,H:102,H:85,H:84,H:83,H:94
"EVEQUE (FR)",2014,GELDING,"Jane Walton",S:0,S:38,S:0,S:65,S:84,S:52
"EVER READY (GB)",2019,FILLY,"Pam Sly",H:70,H:75,H:90,H:94,H:86,H:x
"EVEREST (GB)",2019,FILLY,"Gary & Josh Moore",T:46,A:52,A:44,A:52,A:48,A:x
"EVERGREEN EMERALD (GB)",2023,FILLY,"Tim Easterby",T:16,T:32,T:x,T:x,T:x,-
"EVERYDAYSASATURDAY (IRE)",2023,GELDING,"Declan Carroll",A:40,A:39,A:40,A:50,T:x,T:x
"EVERYONEKNOWSADAVE (IRE)",2022,GELDING,"Jessica Macey",A:65,A:64,A:66,A:69,A:74,T:74
"EVERYONESACRITIC (IRE)",2019,GELDING,"Mrs C. Williams",S:73,S:90,S:81,S:82,S:84,S:50
"EVERYONESGAME (IRE)",2017,GELDING,"Andy Irvine",H:110,H:100,H:93,H:108,H:114,H:104
"EVERYTHING'SONTICK (IRE)",2016,GELDING,,S:0,S:0,S:0,S:92,S:113,S:92
"EVIE ROSS (IRE)",2023,FILLY,"Clive Cox",T:69,T:73,T:x,T:x,T:x,-
"EVOCATIVE SPARK (IRE)",2019,GELDING,"John David Riches",T:64,T:71,T:53,T:67,T:64,A:50
"EVOLUIR (IRE)",2021,GELDING,"Micky Hammond",T:20,A:38,A:21,A:44,A:32,A:42
"EVOLUTIONIST (IRE)",2023,FILLY,"K. R. Burke",T:111,T:106,T:x,T:x,-,-
"EVOLVE (GB)",2023,GELDING,,A:46,A:29,A:39,A:x,A:x,A:x
"EX S'ELANCE (FR)",2014,GELDING,"Victor Thompson",S:0,S:0,S:0,S:58,S:64,S:0
"EXACTLY RIGHT (GB)",2022,GELDING,"Neil Mulholland",H:100,H:89,H:85,H:x,A:44,T:x
"EXCELERATE (IRE)",2023,COLT,,A:42,A:49,T:27,A:47,T:x,T:x
"EXCELERO (FR)",2020,GELDING,"Mrs Jane Williams",S:108,S:110,S:116,S:126,S:123,H:102
"EXCELLENT BELIEVE (GB)",2022,GELDING,"Jack Channon",T:101,T:108,T:99,T:95,A:x,T:x
"EXCELLO (FR)",2019,GELDING,"Nicky Henderson",S:121,S:126,S:0,S:77,S:132,S:114
"EXCLAMATION (IRE)",2023,COLT,"Grace Harris",T:57,T:94,T:58,T:79,T:95,T:85
"EXCLUSIVE CODE (IRE)",2023,GELDING,"Archie Watson",T:x,T:x,T:x,-,-,-
"EXHIBITION MATCH (GB)",2023,FILLY,,A:0,A:x,A:x,A:x,A:x,-
"EXHIBITIONING (GB)",2023,FILLY,"Warren Greatrex",T:46,A:x,T:x,T:x,-,-
"EXISTENT (GB)",2018,GELDING,"Stuart Williams",T:67,T:58,T:70,A:72,A:78,A:63
"EXOTIC BABY (GB)",2023,GELDING,"George Boughey",A:73,T:0,A:72,A:80,A:x,A:x
"EXPELLIARMUS (IRE)",2020,FILLY,"Ben Haslam",H:84,H:87,H:85,H:89,H:92,H:51
"EXPENSIVE EMOTION (IRE)",2020,FILLY,"Adrian Keatley",H:x,H:x,-,-,-,-
"EXPERT AGENT (GB)",2020,GELDING,"Stuart Williams",T:81,T:75,A:73,A:66,A:65,A:70
"EXPERT WITNESS (GB)",2020,FILLY,,A:51,T:70,T:76,T:78,T:83,T:79
"EXPLODE (FR)",2022,GELDING,"Faye Bramley",H:x,H:103,H:74,T:0,T:83,T:x
"EXPLOSION (GB)",2023,COLT,"Charlie Johnston",T:89,A:87,T:x,T:x,T:x,-
"EXPLOSIVE FINNISH (GB)",2023,GELDING,"Kevin & Lauren Frost",T:69,A:71,A:x,T:x,T:x,-
"EXPOSAY (GB)",2022,FILLY,,A:58,A:65,A:47,A:47,T:65,A:52
"EXPOSURE (GB)",2022,GELDING,"John & Thady Gosden",-,-,-,-,-,-
"EXPRESS RUN (IRE)",2019,GELDING,,H:0,H:0,H:59,H:100,H:87,H:x
"EXPRESS SURPRISE (IRE)",2019,GELDING,"Clive Boultbee-Brooks",S:0,S:112,S:106,S:111,S:99,S:97
"EXPRESS TRAIN (IRE)",2022,GELDING,"Richard Phillips",A:49,A:66,A:48,A:50,T:26,T:x
"EXPRESSIONLESS (GB)",2020,GELDING,"Dylan Cunha",T:72,T:57,T:73,T:70,T:52,T:70
"EXQUISEMENT (GB)",2021,FILLY,,A:27,T:37,T:39,A:31,T:29,T:40
"EXQUISITE SKYE (GB)",2023,FILLY,"Michael Keady",A:x,A:x,A:x,T:x,T:x,-
"EXTRATERRESTRIAL (IRE)",2023,GELDING,"Simon & Ed Crisford",T:54,A:70,T:65,A:69,A:x,A:x
"EXTREMELY ZAIN (FR)",2023,COLT,"William Haggas",T:x,A:x,-,-,-,-
"EXTRICATION (GB)",2019,GELDING,,A:38,A:50,A:57,A:57,A:64,M:52
"EY UP HE'S A STAR (GB)",2022,GELDING,"Tony Coyle & Kaine Wood",T:48,T:48,T:60,A:55,A:55,A:61
"EY UP ITS JAZZ (GB)",2019,GELDING,"Tony Coyle & Kaine Wood",T:23,A:33,T:62,A:45,T:49,T:68
"EY UP ITS THE BOSS (GB)",2019,GELDING,,T:63,T:67,T:75,T:87,T:88,T:78
"EYDON (IRE)",2019,COLT,"Andrew Balding",T:110,T:98,T:114,A:100,A:95,T:104
"EYE OF DUBAI (GB)",2021,GELDING,"John & Sean Quinn",T:67,A:87,T:91,T:85,T:90,T:87
"EYE OF THE WATER (IRE)",2016,GELDING,"Ronald Harris",T:41,A:42,A:42,A:42,A:41,T:42
"EYED (GB)",2017,GELDING,"Hughie Morrison",H:98,S:0,S:122,S:110,H:123,S:123
"EYES FRONT (IRE)",2023,GELDING,"Edward Smyth-Osbourne",T:56,T:64,T:50,A:56,T:60,T:70
"EZE SUR MER (IRE)",2023,FILLY,"Dr Richard Newland & Jamie Insole",T:49,T:x,A:x,A:x,-,-
"EZERA (IRE)",2023,FILLY,,A:36,A:38,A:x,A:x,A:x,-
"EZMERELLDA (IRE)",2020,FILLY,"Sarah-Jayne Davies",S:0,S:38,H:62,H:0,H:73,H:0
"EZRA CEE (IRE)",2021,GELDING,"Derek Shaw",A:45,A:59,T:67,T:67,A:55,T:73
"FABULEUSE (USA)",2020,FILLY,,T:0,A:28,A:51,-,-,-
"FABULEUX DU CLOS (FR)",2015,GELDING,"Simon West",T:48,T:55,T:x,T:45,A:x,A:x
"FACE D'MUSIC (IRE)",2019,GELDING,"Katy Price",S:110,S:109,H:105,H:101,H:100,H:0
"FACT OR FABLE (IRE)",2017,GELDING,"J. S. Moore",T:27,T:42,T:26,T:45,T:30,T:47
"FACTUAL (IRE)",2023,COLT,"Andrew Balding",T:40,T:86,A:x,A:x,T:x,-
"FADED FANTASY (IRE)",2019,GELDING,"Christian Williams",H:103,H:106,H:57,S:84,H:110,H:108
"FAEBERON (IRE)",2023,GELDING,"Simon & Ed Crisford",T:71,T:x,A:x,T:x,-,-
"FAERIE CUTLASS (GB)",2018,FILLY,"Kim Bailey & Mat Nicholls",H:72,H:75,H:85,H:77,H:0,S:0
"FAHIDI (IRE)",2023,COLT,"Andrew Balding",T:54,T:x,T:x,T:x,-,-
"FAHRENHEIT SEVEN (GB)",2021,GELDING,"Robert Cowell",T:19,A:102,A:99,T:65,T:92,T:86
"FAI FAI (GB)",2019,GELDING,"Daniel Steele",A:41,A:41,T:50,T:49,T:51,A:31
"FAINCHE (IRE)",2017,FILLY,"Micky Hammond",H:77,H:59,H:0,H:76,H:68,H:91
"FAIR ANGELLICA (GB)",2021,FILLY,,T:104,T:97,T:95,T:103,A:75,T:103
"FAIR DINKUM (IRE)",2020,GELDING,"Jeremy Scott",T:68,T:64,A:62,A:62,A:70,T:69
"FAIR POINT (GB)",2021,FILLY,,T:85,T:86,T:85,A:99,T:93,T:104
"FAIR WIND (GB)",2020,GELDING,,A:59,A:81,T:55,T:73,T:74,T:0
"FAIR Y ISLE (GB)",2023,FILLY,"James Evans",T:61,A:73,A:x,A:x,A:x,-
"FAIRLAWN FLYER (GB)",2016,GELDING,"Mickey Bowen",S:114,S:108,S:0,S:110,S:120,S:118
"FAIRLAWN SKIPPER (GB)",2020,GELDING,"Mickey Bowen",H:72,H:x,H:106,H:x,H:x,N:x
"FAIRLY FAMOUS (IRE)",2017,GELDING,"Mrs G. Andrews",H:0,H:121,H:115,H:0,H:129,H:133
"FAIRLY FULLING (IRE)",2018,GELDING,"Susan Corbett",H:0,H:84,H:77,H:69,H:81,H:58
"FAIRY GLEN (FR)",2021,FILLY,"Simon & Ed Crisford",A:100,T:99,T:98,T:92,T:99,A:x
"FAIRYDALE (IRE)",2023,FILLY,"Tim Easterby",T:48,T:34,T:57,T:64,T:x,T:x
"FAIRYE FORTH (IRE)",2019,GELDING,"Rebecca Curtis",H:x,H:x,H:x,-,-,-
"FAITHFUL DREAM (GB)",2023,COLT,"Joe Ponting",T:50,T:51,A:52,A:58,A:58,A:60
"FAITQUE DE L'ISLE (FR)",2015,GELDING,"James Evans",S:73,S:92,S:94,S:94,H:59,S:79
"FAIVOIR (FR)",2015,GELDING,"Dan Skelton",H:119,H:117,H:114,H:120,H:130,H:117
"FALAISE BLANC (FR)",2022,GELDING,"Katie Scott",T:37,T:35,A:23,A:26,T:42,T:46
"FALAKEYAH (GB)",2022,FILLY,"Owen Burrows",T:90,T:98,T:86,T:105,A:x,-
"FALCO DES PINS (FR)",2020,GELDING,"Venetia Williams",S:102,S:102,S:99,S:88,S:81,H:85
"FALCON NINE (GB)",2020,GELDING,"Iain Jardine",T:33,A:55,A:56,A:51,A:61,T:60
"FALCON QUEEN (IRE)",2023,FILLY,"R. Mike Smith",T:37,-,-,-,-,-
"FALLACIOUS PROMISE (GB)",2023,GELDING,"John Butler",A:53,A:50,A:30,A:x,A:x,T:x
"FALLEN ANGEL (GB)",2021,FILLY,"K. R. Burke",T:104,T:99,T:116,T:111,T:102,T:104
"FALLONS FIRST (IRE)",2022,FILLY,"K. R. Burke",T:0,T:31,T:59,A:x,T:x,T:x
"FALMOUTH BOY (IRE)",2021,GELDING,,A:0,A:27,A:36,T:0,A:0,A:43
"FALMOUTH LAD (GB)",2022,GELDING,,T:82,A:76,T:74,T:67,T:58,A:x
"FAME AND CONCRETE (IRE)",2016,GELDING,"N. R. W. Wright",H:99,H:90,H:97,H:102,H:x,H:x
"FAMILY VALUES (GB)",2023,FILLY,,A:40,A:42,A:44,A:x,A:x,A:x
"FAMOSO (IRE)",2016,GELDING,,H:68,S:70,S:85,S:0,H:41,S:67
"FAMOUS BRIDGE (IRE)",2016,GELDING,"Nicky Richards",S:0,S:120,S:111,S:120,H:119,S:0
"FAMOUS CLERMONT (FR)",2015,GELDING,"C. R. Barber",H:0,H:126,H:53,H:123,H:125,H:139
"FAMOUS SHOES (GB)",2021,GELDING,"Neil Mulholland",H:x,H:x,H:x,H:x,T:39,H:x
"FAN DE BLUES (FR)",2015,GELDING,"Miss Nikki Henton",H:123,H:94,H:113,H:94,H:99,S:139
"FAN MAIL (GB)",2022,GELDING,"Tim Easterby",T:62,A:64,A:65,A:66,A:65,A:70
"FANCIULLA DEL WEST (GB)",2023,FILLY,"Ed Walker",T:71,T:x,A:x,A:x,-,-
"FANCY DANCER (GB)",2022,FILLY,"Hayley Burton",T:27,A:48,A:58,A:45,A:45,T:54
"FANCY NANCY PANTS (GB)",2020,FILLY,,H:0,H:55,H:0,H:0,H:70,H:54
"FANDABIDOZI (IRE)",2018,GELDING,"Gary Hanmer",H:95,A:43,H:49,H:103,H:107,A:43
"FANDOM (GB)",2021,GELDING,"Richard Hannon",T:95,T:85,T:79,-,-,-
"FANE COURT (IRE)",2018,GELDING,"D. J. Jeffreys",S:0,H:69,H:x,H:x,H:x,-
"FANJOVE (IRE)",2023,GELDING,"Ed Dunlop",A:59,A:64,A:67,A:67,A:64,A:65
"FANNY MOON (FR)",2020,GELDING,,H:104,H:72,H:x,H:x,H:x,N:x
"FANS FAVOURITE (GB)",2023,GELDING,"Hugo Palmer",T:57,A:44,A:x,T:x,T:x,-
"FANTASTIC FOX (GB)",2018,GELDING,"Roger Varian",A:58,A:80,T:87,T:70,A:93,A:86
"FANTASY BELIEVER (IRE)",2017,GELDING,"Ed Walker",T:17,T:84,T:93,A:83,T:90,A:90
"FANTASY MASTER (GB)",2018,GELDING,"Robert Cowell",T:71,A:71,A:67,A:61,T:69,T:58
"FANTASY OBSESSOR (GB)",2022,FILLY,"Michael Appleby",A:60,A:66,T:42,A:63,A:56,A:62
"FANTASY WORLD (IRE)",2022,GELDING,"Nicky Henderson",H:0,H:116,H:x,T:103,T:89,T:88
"FANTOCCIA (GB)",2022,FILLY,,A:32,A:x,T:x,T:x,-,-
"FAR ABOVE DREAM (IRE)",2022,GELDING,"James Owen",T:99,T:95,T:89,T:75,T:87,T:66
"FAR ABOVE THE LAW (IRE)",2022,GELDING,"Michael Herrington",T:84,A:78,T:77,T:70,T:62,T:81
"FAR AHEAD (IRE)",2022,GELDING,"Richard & Peter Fahey",T:47,T:27,T:45,T:29,A:0,A:14
"FAR AND ABOVE (IRE)",2022,GELDING,"Roger Teal",A:43,A:62,A:48,A:x,A:x,T:x
"FAR TOO FIZZY (GB)",2023,COLT,"David Loughnane",A:52,A:65,A:34,A:67,A:59,A:57
"FARABOVE THE LIMIT (IRE)",2023,COLT,"Phillip Makin",A:59,A:56,A:62,-,-,-
"FARANDAWAY (IRE)",2022,GELDING,"Grant Tuer",A:70,A:x,A:70,A:70,A:69,A:70
"FARASI LANE (IRE)",2018,GELDING,"Dr Richard Newland & Jamie Insole",A:77,A:74,A:78,A:81,A:77,A:69
"FAREENAR (IRE)",2023,FILLY,"Tim Easterby",T:49,T:34,T:x,T:x,T:x,-
"FARHH ECHO (IRE)",2021,GELDING,"D. J. Jeffreys",H:22,H:66,H:67,H:0,H:83,H:x
"FARMER JIMMY (GB)",2020,GELDING,"Mark Walford",H:85,H:87,H:82,H:0,H:96,H:97
"FASCINATING LIPS (IRE)",2017,GELDING,"Paddy Butler",H:0,H:0,H:82,H:62,H:95,T:49
"FASCINATING SHADOW (IRE)",2018,GELDING,,A:54,A:56,A:58,A:58,A:54,A:54
"FASHION HUNTER (GB)",2021,GELDING,"Gary & Josh Moore",H:100,H:x,H:x,-,-,-
"FASHION PEOPLE (IRE)",2023,FILLY,"John & Thady Gosden",T:92,T:x,A:x,-,-,-
"FASHIONELLE (IRE)",2019,FILLY,"Tony Forbes",A:39,A:45,A:50,A:57,A:56,A:43
"FASOL (GB)",2019,GELDING,"Paul Nicholls",H:119,H:120,H:120,H:119,H:119,H:120
"FAST BULLET (GB)",2022,FILLY,"Ismail Mohammed",A:57,A:45,T:39,T:56,A:55,A:39
"FAST DEAL (GB)",2017,GELDING,"Michael Chapman",S:0,S:0,S:0,S:0,S:24,S:0
"FAST FRED (GB)",2020,GELDING,"Phillip Makin",T:68,T:77,T:77,A:71,T:65,A:66
"FAST STEPS (IRE)",2018,GELDING,"Rod Millman",T:62,T:47,T:59,T:33,T:60,T:70
"FAST TRACK HARRY (GB)",2022,GELDING,"Clive Cox",T:84,T:95,A:91,A:99,A:94,T:73
"FAST TRACKER (GB)",2021,GELDING,"Ed Walker",-,-,-,-,-,-
"FAST WORK (IRE)",2020,GELDING,"Joel Parkinson & Sue Smith",H:29,H:98,H:101,H:x,H:x,H:x
"FASTER BEE (GB)",2021,GELDING,"Fergal O'Brien",A:26,A:57,A:52,A:24,A:52,A:53
"FAT FACED COLUMBO (IRE)",2020,GELDING,"Richard Mitford-Slade",S:104,S:104,S:100,S:91,H:x,H:x
"FAT HARRY (GB)",2017,GELDING,"Joel Parkinson & Sue Smith",S:103,S:107,S:104,S:96,H:84,H:87
"FAT SAM (GB)",2014,GELDING,,S:67,S:90,S:85,S:103,S:97,S:96
"FAUSTUS (GB)",2018,GELDING,"Rachel Cook & John Bridger",T:45,T:60,T:47,A:53,A:54,A:56
"FAVOUR AND FORTUNE (IRE)",2018,GELDING,"Alan King",H:140,H:144,H:128,H:143,H:124,H:140
"FAVOURBROOK (IRE)",2022,GELDING,,T:34,T:57,A:x,A:x,A:x,-
"FAVOURITE FRIEND (GB)",2023,GELDING,"Sir Mark Prescott Bt",T:29,T:40,A:41,A:x,A:x,A:x
"FAY CE QUE VOUDRAS (IRE)",2016,FILLY,"Kerry Lee",S:94,S:91,S:85,S:0,H:76,H:86
"FEACH AMACH (IRE)",2020,FILLY,"Adam Nicol",H:106,H:107,H:102,H:44,H:104,H:99
"FEAR AND FAST (GB)",2022,GELDING,"Jim Goldie",T:31,T:34,T:45,T:50,T:50,T:52
"FEARLESS DRAGON (GB)",2021,GELDING,"Patrick Neville",H:x,H:x,H:x,H:x,N:x,-
"FEARNOT (IRE)",2022,COLT,,T:103,T:100,T:104,T:99,T:94,T:84
"FEDERAL ENVOY (IRE)",2021,GELDING,"Charlie Clover",A:61,A:47,A:55,A:61,A:69,A:48
"FEDERATED (USA)",2020,GELDING,,A:86,A:76,A:82,A:38,A:77,A:71
"FEEL GUT (FR)",2022,GELDING,"Nicky Henderson",H:x,-,-,-,-,-
"FEEL THE NEED (GB)",2020,GELDING,"Michael Herrington",T:28,A:73,T:56,T:62,A:75,T:75
"FEELING FRISKY (FR)",2020,FILLY,,H:0,H:x,H:32,H:x,H:x,H:x
"FEET ON THE GROUND (IRE)",2018,FILLY,"Fergal O'Brien",S:90,H:0,H:81,H:58,H:0,H:95
"FEIGNING MADNESS (GB)",2021,GELDING,,T:84,T:89,T:94,T:98,T:98,T:98
"FEISTY MINX (GB)",2023,FILLY,"Amanda Perrett",A:50,A:62,A:x,A:x,A:x,-
"FELICITAS (GB)",2023,FILLY,"Ed Walker",T:103,T:x,A:x,-,-,-
"FELIX GEM (GB)",2023,GELDING,"Eve Johnson Houghton",A:66,A:x,A:x,A:x,-,-
"FELTON BELLEVUE (FR)",2015,GELDING,"Ben Case",S:76,S:73,S:89,S:70,S:88,S:78
"FEMME FATALE (GB)",2023,FILLY,"James Tate",T:43,T:x,T:x,M:x,-,-
"FEN TIGER (IRE)",2018,GELDING,,T:48,T:45,T:36,T:44,T:50,T:40
"FENAY BRIDGE (IRE)",2023,FILLY,"Ivan Furtado",A:x,A:x,A:x,-,-,-
"FENLAND TIGER (GB)",2016,GELDING,"Sam England",S:91,S:89,S:112,S:102,S:109,S:120
"FENLANDER (GB)",2021,GELDING,"Pam Sly",T:63,T:36,T:59,A:61,A:58,A:61
"FERANDO (IRE)",2020,GELDING,"Barry Murphy",H:0,S:36,S:46,S:61,S:66,H:x
"FERMAIN (GB)",2023,FILLY,,A:46,A:64,A:67,A:65,A:61,T:x
"FERN HILL (IRE)",2015,GELDING,"Ben Case",S:108,S:111,S:91,S:103,S:94,S:88
"FERNANDO (GB)",2022,GELDING,,T:54,T:36,A:60,A:29,A:69,A:72
"FERRARI GOLD (IRE)",2022,FILLY,,T:54,T:x,T:x,A:x,-,-
"FERRET JEETER (GB)",2017,GELDING,"Anthony Honeyball",H:108,S:106,H:101,H:98,H:90,H:92
"FERROUS (IRE)",2020,GELDING,"Jack Channon",A:92,A:100,A:104,A:103,T:18,T:100
"FEVER DREAM (IRE)",2018,GELDING,"Christian Williams",S:109,S:113,S:105,H:17,S:101,S:93
"FFREE PEDRO (IRE)",2016,GELDING,,H:0,H:0,H:0,S:0,H:21,S:0
"FICKLE MCSELFISH (GB)",2023,COLT,"Tony Coyle & Kaine Wood",T:65,A:54,A:61,A:36,A:39,A:x
"FIDDLERS GREEN (IRE)",2019,GELDING,"John O'Shea",A:58,A:52,A:57,A:56,A:62,A:62
"FIDELIUS (GB)",2021,GELDING,"Robert Cowell",T:75,T:85,A:89,A:88,A:84,A:86
"FIDENDUM (GB)",2019,GELDING,"David Killahena & Graeme McPherson",H:112,H:x,H:x,H:x,H:x,N:x
"FIDGET LADY (GB)",2022,FILLY,,A:32,A:38,A:38,A:25,A:35,T:x
"FIELD OF GOLD (IRE)",2022,COLT,"John & Thady Gosden",T:114,T:113,T:105,T:125,T:120,T:117
"FIERCE (IRE)",2020,GELDING,"Paul Midgley",T:69,A:66,A:x,A:62,A:65,T:63
"FIERCE FORTITUDE (GB)",2022,GELDING,"Kevin Philippart de Foy",T:89,T:90,A:88,T:x,A:x,A:x
"FIERCE WARRIOR (IRE)",2019,GELDING,,S:112,S:123,S:0,S:124,S:116,H:111
"FIERCELY PROUD (IRE)",2019,GELDING,"Ben Pauling",H:128,H:130,H:137,H:116,H:132,H:0
"FIERY DAMSEL (IRE)",2023,FILLY,"Simon & Ed Crisford",A:x,A:x,A:x,-,-,-
"FIFTH COLUMN (IRE)",2022,GELDING,"John & Thady Gosden",T:102,T:95,T:88,T:92,T:101,T:93
"FIFTY NIFTY (IRE)",2021,GELDING,"Chelsea Banham",T:53,A:71,A:78,A:79,T:68,T:76
"FIFTY SENT (GB)",2019,GELDING,"Thomas Faulkner",T:51,A:29,A:54,A:52,A:43,A:50
"FIFTYSHADESARESDEV (FR)",2019,GELDING,"Micky Hammond",A:24,A:33,A:37,T:45,T:51,T:50
"FIGHT MY FIRE (IRE)",2021,GELDING,"Joe Tizzard",H:66,H:106,H:0,H:109,H:x,H:x
"FIGHT YOUR CORNER (IRE)",2021,GELDING,"James Tate",A:81,A:x,A:x,A:x,-,-
"FIGHTER'S SPIRIT (IRE)",2023,GELDING,"Saeed bin Suroor",T:x,T:x,-,-,-,-
"FIGHTING FALCON (IRE)",2021,GELDING,"Stuart Edmunds",H:105,-,-,-,-,-
"FIGHTING POET (IRE)",2018,GELDING,"Richard Phillips",T:48,A:45,T:43,T:47,T:24,T:53
"FIGHTING QUEEN (GB)",2021,FILLY,"Joe Ponting",T:14,A:40,A:53,T:32,T:50,T:42
"FIGJAM (IRE)",2023,FILLY,"Katie Scott",T:93,T:93,T:89,T:x,T:89,T:x
"FIHRAYN (IRE)",2021,GELDING,,A:0,A:58,A:66,A:68,A:66,A:63
"FIL D'ARIANE (FR)",2015,GELDING,"Douglas White",H:113,H:123,S:120,S:120,H:0,H:102
"FILANDERER (GB)",2016,GELDING,"Hughie Morrison",S:120,S:0,S:129,S:107,S:120,S:112
"FILEY BEACH (IRE)",2021,GELDING,"Ruth Carr",T:59,T:59,T:53,T:42,A:29,A:33
"FILIBUSTERING (GB)",2021,GELDING,"Harry Derham",A:63,H:122,H:115,H:104,H:84,H:x
"FILLE IMBASSEE (GB)",2023,FILLY,"Julie Camacho",T:62,T:56,A:56,A:66,A:66,A:x
"FILLE UNIQUE (IRE)",2023,FILLY,"Bryan Smart",T:68,T:66,A:66,A:59,A:47,A:62
"FILLIGRIS (IRE)",2022,FILLY,,A:27,A:27,A:20,T:36,A:x,A:x
"FILLY EILISH (IRE)",2023,FILLY,"Ivan Furtado",A:x,A:x,A:x,-,-,-
"FILLY FODEN (IRE)",2023,FILLY,"Rod Millman",T:41,T:57,A:65,A:59,A:62,A:40
"FILLY ONE (IRE)",2021,FILLY,,A:79,A:81,A:80,T:69,T:74,A:79
"FILLY'S LAST LADY (GB)",2021,FILLY,"Gary Harrison",T:61,T:56,A:51,A:52,T:46,T:63
"FILLYFUDGE (GB)",2019,FILLY,"Lemos De Souza",T:30,A:45,A:36,A:52,A:41,A:56
"FINAL ENTRY (IRE)",2021,GELDING,"David Pipe",H:94,H:87,A:57,H:93,H:100,T:x
"FINAL ESCAPE (IRE)",2019,FILLY,"Oliver Greenall & Josh Guerriero",H:x,H:x,H:x,-,-,-
"FINAL NIGHT (GB)",2022,GELDING,"John Butler",T:78,T:80,A:70,A:79,A:75,A:75
"FINAL SECRET (GB)",2022,FILLY,,T:19,T:x,T:x,-,-,-
"FINAL STRAW (IRE)",2020,GELDING,"Martin Todhunter",H:98,H:101,H:102,H:x,H:x,H:x
"FINAL SURPRISE (IRE)",2021,GELDING,"Alastair Ralph",H:x,H:x,N:x,N:x,N:x,-
"FINALISE (GB)",2022,FILLY,"William Haggas",T:86,A:x,T:x,T:x,-,-
"FINALLY ESCAPED (GB)",2022,FILLY,"Roger Fell",T:49,T:53,A:54,A:x,A:x,A:x
"FINANCER (GB)",2021,GELDING,"Tim Easterby",T:73,T:71,T:76,T:43,T:79,T:81
"FINBAR'S LAD (GB)",2019,GELDING,,A:62,A:64,T:64,T:41,A:74,T:69
"FINE ART DEALER (IRE)",2023,GELDING,,T:x,T:x,T:x,-,-,-
"FINE AS WINE (IRE)",2018,FILLY,"Gary Hanmer",H:94,H:93,H:x,H:x,H:x,H:x
"FINE CASTING (IRE)",2016,GELDING,"Ben Pauling",S:109,H:110,S:119,S:0,S:123,H:117
"FINE INTERVIEW (FR)",2021,GELDING,"Hamad Al Jehani",T:99,T:85,T:94,T:90,T:89,T:88
"FINE POINT (IRE)",2021,GELDING,"Adam Nicol",H:98,H:90,H:78,H:71,H:79,H:92
"FINGAL'S HILL (IRE)",2016,GELDING,"Peter Atkinson",H:122,H:130,H:127,H:102,H:132,H:131
"FINGLE BRIDGE (IRE)",2018,GELDING,"Olly Murphy",H:119,H:106,H:137,S:133,S:139,S:139
"FINISHER (USA)",2015,GELDING,"Miss Lilian Bartlett",H:0,H:x,H:0,H:49,H:93,H:75
"FINLAGGAN (GB)",2022,GELDING,"David O'Meara",T:63,T:69,T:x,A:x,-,-
"FINN IRONSIDE (GB)",2021,GELDING,"Ivan Furtado",T:63,A:62,A:50,A:57,A:48,T:25
"FINN LOUGH (IRE)",2019,GELDING,"Oliver Greenall & Josh Guerriero",S:0,S:110,S:89,S:104,S:109,S:0
"FINN RUSSELL (IRE)",2020,GELDING,"Ian Williams",T:71,T:65,H:19,T:71,T:61,A:68
"FIORELLA PRINCESS (IRE)",2022,FILLY,"Robert Cowell",T:58,A:67,A:59,A:60,A:70,A:53
"FIRCOMBE HALL (GB)",2018,GELDING,"Philip Kirby",T:52,A:54,A:55,A:43,A:54,A:47
"FIRE EYES (FR)",2018,FILLY,"Roger Fell",T:55,T:62,T:55,T:55,A:56,A:59
"FIRE FLAME (GB)",2022,GELDING,,A:75,A:75,T:68,T:69,T:77,T:50
"FIRE WARNING (FR)",2021,GELDING,"Nicky Henderson",H:x,-,-,-,-,-
"FIREBLADE (GB)",2021,GELDING,"Dylan Cunha",T:86,T:46,T:91,T:85,T:90,T:88
"FIREFLY LANE (IRE)",2016,FILLY,"Jimmy Frost",S:72,S:47,S:0,S:0,S:0,S:60
"FIRENZE ROSA (IRE)",2015,FILLY,,T:0,T:10,T:21,T:24,T:24,T:30
"FIRESTREAM (GB)",2017,GELDING,"Chester Williams",H:114,H:122,H:0,H:127,H:126,H:x
"FIREWALKER (GB)",2023,GELDING,"Kevin Philippart de Foy",T:59,T:x,T:x,A:x,-,-
"FIRM BUT FAIR (IRE)",2021,GELDING,"Harry Derham",H:102,H:108,H:x,H:x,-,-
"FIRST AMBITION (GB)",2021,GELDING,"Michael Keady",T:29,A:84,A:84,A:69,T:86,T:91
