scope_type,scope_name,model,race_count,runner_count,winner_multiclass_log_loss,runner_log_loss,brier_score,top_1_winner_hit_rate,top_3_containment,calibration_ece
split,train,market_implied_baseline,1060,11757,1.9343146123306942,0.25422345096294174,0.07214747503483435,0.32075471698113206,0.629245283018868,0.008321179448804318
split,validation,market_implied_baseline,523,5804,1.9994964101201087,0.26069841111442726,0.07327656358237467,0.3078393881453155,0.5965583173996176,0.00783570266283865
split,test,market_implied_baseline,114,1014,1.7252294438828102,0.2906292501654094,0.08548288214972359,0.35964912280701755,0.6929824561403509,0.021442128850706548
split,all,market_implied_baseline,1697,18575,1.940357258789626,0.25823401080738445,0.07322824664960806,0.319387153800825,0.6234531526222746,0.0043684999536608374
split,train,sp_rank_reciprocal_baseline,1060,11757,2.0166552838452074,0.2631024856741469,0.07412035192957765,0.32075471698113206,0.629245283018868,0.010077920977959195
split,validation,sp_rank_reciprocal_baseline,523,5804,2.0783100388570297,0.2692625288384313,0.0753036740866453,0.3078393881453155,0.5965583173996176,0.010342292592925864
split,test,sp_rank_reciprocal_baseline,114,1014,1.8045408532181324,0.30177357902260704,0.08826184260629043,0.35964912280701755,0.6929824561403509,0.01983084384681107
split,all,sp_rank_reciprocal_baseline,1697,18575,2.0214074298556306,0.26713830689518836,0.07526207324025369,0.319387153800825,0.6234531526222746,0.009135009091322793
split,train,market_only_logistic,1060,11757,1.9164300089009738,0.25223306807339063,0.07170837091312948,0.3283018867924528,0.6339622641509434,0.0044095659661472966
split,validation,market_only_logistic,523,5804,1.9994164386623838,0.26064832292685813,0.07329443590356312,0.31166347992351817,0.6022944550669216,0.009313247744689496
split,test,market_only_logistic,114,1014,1.7175719446971869,0.28972743298212894,0.08557287318780502,0.3157894736842105,0.6929824561403509,0.016426204892451505
split,all,market_only_logistic,1697,18575,1.9286469113441005,0.256909322457616,0.0729608137939369,0.3223335297583972,0.6281673541543901,0.003715157839718789
split,train,playbook_g_candidate,1060,11757,0.9831576307924303,0.14673079649413834,0.042952576226645146,0.7537735849056604,0.9660377358490566,0.048552679058338474
split,validation,playbook_g_candidate,523,5804,1.4218038608433916,0.19657401014279913,0.05592331359134014,0.5717017208413002,0.8565965583173997,0.025892042818879357
split,test,playbook_g_candidate,114,1014,1.6074943723023534,0.2661020928316016,0.07221206903179238,0.4824561403508772,0.8333333333333334,0.011753034616460614
split,all,playbook_g_candidate,1697,18575,1.1602857196838743,0.16882137557909202,0.04860271272027148,0.6794342958161461,0.9233942251031232,0.038847822438374174
jurisdiction_test,FR,market,84,683,1.6292902317692783,0.30517782530458404,0.09162854773051476,0.36904761904761907,0.7380952380952381,0.0422099864443429
jurisdiction_test,FR,market_only_logistic,84,683,1.6186526737501967,0.30383225363628147,0.09161736432371546,0.30952380952380953,0.7380952380952381,0.029603440625417192
jurisdiction_test,FR,candidate,84,683,1.3254946485490913,0.25854202449517716,0.0800087216648045,0.4642857142857143,0.8333333333333334,0.019395816566096437
jurisdiction_test,HK,market,29,319,2.0043041687607603,0.26231182252078644,0.07303520989968713,0.3448275862068966,0.5517241379310345,0.030610113604093624
jurisdiction_test,HK,market_only_logistic,29,319,2.0067706572944206,0.26251450467528226,0.07338982266394002,0.3448275862068966,0.5517241379310345,0.024231982835107444
jurisdiction_test,HK,candidate,29,319,2.4130579638771974,0.283347892835068,0.055572205164328425,0.5517241379310345,0.8620689655172413,0.01556049637543216
jurisdiction_test,JPN,market,1,12,1.6909562399589053,0.21534446671361787,0.06659270348982929,0.0,1.0,0.1359428061023471
jurisdiction_test,JPN,market_only_logistic,1,12,1.6400280389245658,0.21033840157362818,0.06540667912831329,0.0,1.0,0.13433756610410502
jurisdiction_test,JPN,candidate,1,12,1.9341270119058844,0.2379451322209408,0.07079563781293739,0.0,0.0,0.1425749325766325
year_test,2023,market,47,397,1.6516495873982144,0.2977095848425932,0.08979321950652532,0.3404255319148936,0.7659574468085106,0.033966154310156385
year_test,2023,market_only_logistic,47,397,1.6416056435878907,0.2968565665398054,0.09019248135759744,0.3191489361702128,0.7446808510638298,0.038160251620274005
year_test,2023,candidate,47,397,1.2504698702145935,0.24125375247974631,0.07678609881403167,0.46808510638297873,0.9148936170212766,0.0330894098904537
year_test,2024,market,41,373,1.868712734226556,0.30357767920881573,0.08888128317217149,0.3170731707317073,0.5853658536585366,0.025801380761725865
year_test,2024,market_only_logistic,41,373,1.8660076809692403,0.3036394748479038,0.0892676620098908,0.2682926829268293,0.6097560975609756,0.03149872070280676
year_test,2024,candidate,41,373,1.4976031836793597,0.25332293542195755,0.07623546498222243,0.4634146341463415,0.7317073170731707,0.021518403504940962
year_test,2025,market,26,244,1.6319770727552105,0.2593150825423254,0.07327465464143124,0.46153846153846156,0.7307692307692307,0.033753214767263326
year_test,2025,market_only_logistic,26,244,1.6208239048888275,0.25686080331683575,0.07240836222860182,0.38461538461538464,0.7307692307692307,0.03141556848052641
year_test,2025,candidate,26,244,2.4261747696741756,0.32606691591964954,0.058619378404499774,0.5384615384615384,0.8461538461538461,0.022420860543144964
rolling_origin_year,2021,market,321,3593,1.9900820092983742,0.2571144645425371,0.07206941798695249,0.32398753894080995,0.5794392523364486,0.008396275426972428
rolling_origin_year,2021,market_only_logistic,321,3593,1.9887419698183832,0.2567656340900623,0.0719376431128205,0.3333333333333333,0.5919003115264797,0.014321804338629462
rolling_origin_year,2021,candidate,321,3593,1.4688325999567822,0.19782466540657315,0.05418331104070511,0.5856697819314641,0.8598130841121495,0.028294276853042578
rolling_origin_year,2022,market,202,2211,2.0144569183566254,0.2665225269139754,0.07523824342152068,0.28217821782178215,0.6237623762376238,0.012339812568612262
rolling_origin_year,2022,market_only_logistic,202,2211,2.013246754148367,0.26656179975642086,0.07536435077743937,0.27722772277227725,0.6386138613861386,0.013889163691641077
rolling_origin_year,2022,candidate,202,2211,1.2696370020828969,0.1850119031344047,0.0559821749357367,0.5643564356435643,0.8910891089108911,0.02404399015595109
rolling_origin_year,2023,market,47,397,1.6516495873982144,0.2977095848425932,0.08979321950652532,0.3404255319148936,0.7659574468085106,0.033966154310156385
rolling_origin_year,2023,market_only_logistic,47,397,1.649646751276804,0.29774445276759626,0.09012626489074356,0.3404255319148936,0.7446808510638298,0.03347600129361214
rolling_origin_year,2023,candidate,47,397,1.210908944961872,0.2349657177306343,0.07470691709328357,0.44680851063829785,0.9361702127659575,0.03357495915441789
rolling_origin_year,2024,market,41,373,1.868712734226556,0.30357767920881573,0.08888128317217149,0.3170731707317073,0.5853658536585366,0.025801380761725865
rolling_origin_year,2024,market_only_logistic,41,373,1.8635367298815433,0.3030124118350833,0.08889322923850972,0.2682926829268293,0.6097560975609756,0.03259663416712001
rolling_origin_year,2024,candidate,41,373,1.4153960064489428,0.24413157305537167,0.07581665456309782,0.3902439024390244,0.8048780487804879,0.019139421706209216
rolling_origin_year,2025,market,26,244,1.6319770727552105,0.2593150825423254,0.07327465464143124,0.46153846153846156,0.7307692307692307,0.033753214767263326
rolling_origin_year,2025,market_only_logistic,26,244,1.6329729169964,0.2581730861551816,0.07252733085231321,0.34615384615384615,0.7692307692307693,0.02505934240613157
rolling_origin_year,2025,candidate,26,244,2.3321730062486408,0.3126388032732037,0.053272360659965566,0.6538461538461539,0.8461538461538461,0.03769189274651795
