date,course,race_id,off,race_name,type,class,pattern,rating_band,age_band,sex_rest,dist,going,ran,num,pos,draw,ovr_btn,btn,horse,age,sex,wgt,hg,time,sp,jockey,trainer,prize,or,rpr,ts,sire,dam,damsire,owner,comment
2015-04-29,Wolverhampton (AW),623032,1:45,BRC Roofing Handicap (Tapeta),Flat,Class 6,,0-60,4yo+,,7f,Standard,7,2.0,4,5.0,0.75,0.3,The Happy Hammer (IRE),9,G,9-6,,1:28.91,9/2,Martin Dwyer,Eugene Stanford,168.35,58,63,51,Acclamation (GB),Emmas Star (ITY),Darshaan,Newmarketracingclubcouk,Soon led - ridden over 1f out - headed near finish(op 4/1)
2015-04-29,Pontefract,623030,4:45,coral.co.uk Handicap,Flat,Class 5,,0-75,3yo,,6f,Good To Firm,9,3.0,3,4.0,4.25,1.75,Youre Cool (GB),3,G,9-5,,1:16.70,25/1,Tom Eaves,James Given,481,73,72,51,Exceed And Excel (AUS),Ja One (IRE),Acclamation,The Cool Silk Partnership,Led - headed last 150yds - no extra(op 22/1)
2015-04-29,Canterbury Park (AUS),625488,7:10,Schweppes Handicap (3yo+) (Turf),Flat,,,,3yo+,,6f,Good To Soft,9,5.0,3,11.0,2.25,1.25,Fireball (AUS),6,G,8-7,b,1:16.46,10/1,Jess Taylor,Jan Bowen,2073.3,–,–,–,Beautiful Crown (USA),Hotspurs (AUS),Flying Spur,Ms J L Bowen S M Watts,
2015-04-29,Canterbury Park (AUS),625481,4:10,TAB Place Multi Handicap (2yo) (Turf),Flat,,,,2yo,,5½f,Good To Soft,8,2.0,6,8.0,4.75,0.2,Cyrus Rocks (AUS),2,G,9-2,,1:7.41,16/5,Blake Shinn,Gai Waterhouse,235.6,–,–,–,Bernardini (USA),Lustre Lady (AUS),Flying Spur,Jananth Pty Ltd Syndicate,
2015-04-29,Canterbury Park (AUS),625481,4:10,TAB Place Multi Handicap (2yo) (Turf),Flat,,,,2yo,,5½f,Good To Soft,8,9.0,7,2.0,6.25,1.5,Sweetwater (AUS),2,F,8-11,,1:7.67,13/1,Tommy Berry,Michael Wayne & John Hawkes,235.6,–,–,–,Starcraft (NZ),Flowerchild (AUS),Redoutes Choice,Extended Eleven Syndicate H J Chapman Et Al,
2015-04-29,Canterbury Park (AUS),625481,4:10,TAB Place Multi Handicap (2yo) (Turf),Flat,,,,2yo,,5½f,Good To Soft,8,10.0,8,5.0,9.75,3.5,Tempa Mental (AUS),2,F,8-5,b,1:8.37,80/1,Brodie Loy,Ross Simpson & Tracey Barnes,235.6,–,–,–,Snippetson (AUS),Elegance (AUS),Desert Style,Miss J A Burnside N Wales,
2015-04-29,Canterbury Park (AUS),625481,4:10,TAB Place Multi Handicap (2yo) (Turf),Flat,,,,2yo,,5½f,Good To Soft,8,7.0,2,3.0,1.5,1.5,Volante (AUS),2,F,8-9,,1:6.72,14/5,Jess Taylor,David Vandyke,4149.21,–,–,–,Snitzel (AUS),Louis Leggs (USA),Louis Quatorze,S G Darby P J Hall Et Al,
2015-04-29,Canterbury Park (AUS),625481,4:10,TAB Place Multi Handicap (2yo) (Turf),Flat,,,,2yo,,5½f,Good To Soft,8,4.0,1,6.0,0,0,Press Statement (AUS),2,C,9-2,,1:6.42,20/1,Tye Angland,Chris Waller,12054.97,–,–,–,Hinchinbrook (AUS),Kaaptive Empress (AUS),Kaaptive Edition,A M Muollo Mrs G L Muollo Et Al,
2015-04-29,Canterbury Park (AUS),625482,4:45,More Than Ready @ Vinery Plate (Maiden) (3yo) (Turf),Flat,,,,3yo,,1m1½f,Good To Soft,9,5.0,1,9.0,0,0,Once Again (AUS),3,G,9-0,,2:1.97,14/1,Tye Angland,Gary Portelli,12054.97,–,–,–,Onemorenomore (AUS),Erin (AUS),Brief Truce,G Harvey,
2015-04-29,Canterbury Park (AUS),625481,4:10,TAB Place Multi Handicap (2yo) (Turf),Flat,,,,2yo,,5½f,Good To Soft,8,6.0,5,4.0,4.5,1.75,Stimac (AUS),2,C,9-2,,1:7.32,12/1,Kerrin McEvoy,Chris Waller,500,–,–,–,Bernardini (USA),Yaasah (IRE),Distant View,M Pejic M G Dominello Et Al,
2015-04-29,Canterbury Park (AUS),625482,4:45,More Than Ready @ Vinery Plate (Maiden) (3yo) (Turf),Flat,,,,3yo,,1m1½f,Good To Soft,9,4.0,4,5.0,3.5,0.3,Jeu Sur (NZ),3,G,8-7,tb,2:2.67,17/1,Brodie Loy,Bjorn Baker,986.91,–,–,–,Nom Du Jeu (NZ),Tall Poppy (NZ),Kaapstad,M C Fenwick L J Emery Et Al,
2015-04-29,Canterbury Park (AUS),625482,4:45,More Than Ready @ Vinery Plate (Maiden) (3yo) (Turf),Flat,,,,3yo,,1m1½f,Good To Soft,9,10.0,6,7.0,4.5,0.5,War Affair (AUS),3,G,9-0,b,2:2.87,5/1,Timothy Clark,Robert Pearse,235.6,–,–,–,Haradasun (AUS),Irgunette (AUS),Irgun,T T Ballard M G Collins Et Al,
2015-04-29,Canterbury Park (AUS),625482,4:45,More Than Ready @ Vinery Plate (Maiden) (3yo) (Turf),Flat,,,,3yo,,1m1½f,Good To Soft,9,2.0,7,1.0,5.5,1,Columkille (AUS),3,G,9-0,t,2:3.07,13/1,Kathy OHara,Paul Cave,235.6,–,–,–,Dylan Thomas (IRE),Maid Of Antrim (AUS),High Yield,W P Cave J Watters Et Al,
2015-04-29,Canterbury Park (AUS),625482,4:45,More Than Ready @ Vinery Plate (Maiden) (3yo) (Turf),Flat,,,,3yo,,1m1½f,Good To Soft,9,11.0,8,3.0,6.5,1,Caribbean Concert (AUS),3,F,8-9,b,2:3.27,7/1,Jason Collett,Danny Williams,235.6,–,–,–,Authorized (IRE),Nanny Maroon (AUS),Alquoz,Miss K Anderson,
2015-04-29,Canterbury Park (AUS),625482,4:45,More Than Ready @ Vinery Plate (Maiden) (3yo) (Turf),Flat,,,,3yo,,1m1½f,Good To Soft,9,3.0,2,2.0,0.5,0.5,Embley (AUS),3,G,9-0,tp,2:2.07,8/5F,Hugh Bowman,Sam Kavanagh,4149.21,–,–,–,High Chaparral (IRE),Dashing Eagle (AUS),Danehill,B W Mcavaney D P West Et Al,
2015-04-29,Canterbury Park (AUS),625482,4:45,More Than Ready @ Vinery Plate (Maiden) (3yo) (Turf),Flat,,,,3yo,,1m1½f,Good To Soft,9,1.0,3,4.0,3.25,2.75,Apocalypto (AUS),3,G,9-0,b,2:2.62,9/2,Christian Reith,John P Thompson,2073.3,–,–,–,Domesday (AUS),Falvette (AUS),Val Royal,A Kent Mrs N Scully Et Al,
2015-04-29,Canterbury Park (AUS),625481,4:10,TAB Place Multi Handicap (2yo) (Turf),Flat,,,,2yo,,5½f,Good To Soft,8,5.0,3,7.0,2.25,0.75,Reincarnate (AUS),2,C,9-2,t,1:6.87,2/1F,James McDonald,J OShea,2073.3,–,–,–,Medaglia dOro (USA),Plagiarize (AUS),Stravinsky,Godolphin,Held up in rear from wide draw and switched inside to rail - 6th and pushed along 1 1/2f out - angled out but not clear run over 1f out - ridden and stayed on well final 150yds - not reach leaders - promising
2015-04-29,Canterbury Park (AUS),625482,4:45,More Than Ready @ Vinery Plate (Maiden) (3yo) (Turf),Flat,,,,3yo,,1m1½f,Good To Soft,9,8.0,5,8.0,4,0.5,Transcript (AUS),3,G,9-0,b,2:2.77,9/1,James McDonald,J OShea,500,–,–,–,Street Cry (IRE),Libretto (IRE),Singspiel,Godolphin,Soon pressing leader on outer - carried wide bend out of back straight before halfway by hanging rival - ridden and lost place 2 1/2f out - kept on again final 250yds - not pace to get on terms
2015-04-29,Canterbury Park (AUS),625484,5:55,Tab.Com.Au Handicap (3yo+) (Turf),Flat,,,,3yo+,,1m1½f,Good To Soft,9,7.0,1,5.0,0,0,Husson Choice (AUS),4,G,8-7,b,2:0.17,9/2,Kathy OHara,David Vandyke,12054.97,–,–,–,Husson (ARG),Choicical (AUS),Redoutes Choice,N Moraitis A M M J Kent A M,
2015-04-29,Canterbury Park (AUS),625481,4:10,TAB Place Multi Handicap (2yo) (Turf),Flat,,,,2yo,,5½f,Good To Soft,8,3.0,4,1.0,2.75,0.5,Feast For Eyes (AUS),2,C,9-2,,1:6.97,10/1,Hugh Bowman,Chris Waller,986.91,–,–,–,More Than Ready (USA),St Katherine (AUS),Barathea,C C Lai,
2015-04-29,Pontefract,623031,5:20,Go Racing In Yorkshire Future Stars Apprentice Handicap (Round 3),Flat,Class 5,,0-70,4yo+,,5f,Good To Firm,11,1.0,10,11.0,9.75,4.5,Tinsill (GB),4,G,9-7,,1:5.38,28/1,Miss Anna Hesketh,Nigel Tinkler,,70,43,14,Firebreak (GB),Concentration (IRE),Mind Games,Crawford Society 1,Left after start - in rear - outpaced over 2f out - lost place over 1f out(op 20/1)
2015-04-29,Pontefract,623030,4:45,coral.co.uk Handicap,Flat,Class 5,,0-75,3yo,,6f,Good To Firm,9,5.0,8,5.0,15.75,4,Honeysuckle Lil (IRE),3,F,8-8,,1:19.00,10/1,Rachel Richardson,Tim Easterby,,69,33,–,Alfred Nobel (IRE),Twinberry (IRE),Tagula,Ambrose Turnbull,Mid-division - lost place 2f out - soon behind (trainer said filly was unsuited by the track)(tchd 11/1)
2015-04-29,Pontefract,623030,4:45,coral.co.uk Handicap,Flat,Class 5,,0-75,3yo,,6f,Good To Firm,9,8.0,9,7.0,37.75,22,Mrs Biggs (GB),3,F,8-11,,1:23.40,7/1,Graham Lee,Declan Carroll,,65,–,–,Paco Boy (IRE),Hoh Chi Min GB,Efisio,Kenneth Mackay,Mid-division - lost place 3f out - soon behind - eased inside final furlong - tailed off (jockey said filly never travelled)(op 11/2)
2015-04-29,Pontefract,623031,5:20,Go Racing In Yorkshire Future Stars Apprentice Handicap (Round 3),Flat,Class 5,,0-70,4yo+,,5f,Good To Firm,11,10.0,1,1.0,0,0,Iggy (GB),5,G,8-2,t,1:3.43,3/1,Nathan Evans,Michael Easterby,3234.5,56,64,37,Lucarno (USA),Fujakka (IRE),Vettori,M W Easterby,Chased leaders - led last 75yds - edged right - all out(op 4/1)
2015-04-29,Pontefract,623031,5:20,Go Racing In Yorkshire Future Stars Apprentice Handicap (Round 3),Flat,Class 5,,0-70,4yo+,,5f,Good To Firm,11,9.0,11,10.0,13.25,3.5,Walk Right Back (IRE),4,G,8-2,,1:6.08,16/1,Rowan Scott,Micky Hammond,,56,16,–,Dandy Man (IRE),Certainlei (IRE),Definite Article,Masters Of The Hall,Chased leaders on outer - lost place over 1f out - soon behind(op 12/1)
2015-04-29,Pontefract,623030,4:45,coral.co.uk Handicap,Flat,Class 5,,0-75,3yo,,6f,Good To Firm,9,4.0,5,10.0,5.75,0.05,Ocean Sheridan (IRE),3,G,9-3,,1:17.01,6/1,Connor Beasley,Michael Dods,,71,65,42,Starspangledbanner (AUS),Endless Night (GER),Tiger Hill,J Blackburn A Turton,In rear - headway over 2f out - kept on final furlong(op 11/2)
2015-04-29,Pontefract,623031,5:20,Go Racing In Yorkshire Future Stars Apprentice Handicap (Round 3),Flat,Class 5,,0-70,4yo+,,5f,Good To Firm,11,2.0,2,3.0,0.2,0.2,Scoreline (GB),4,G,9-4,,1:3.47,11/4F,Josh Doyle,David OMeara,962.5,70,77,51,Captain Gerrard (IRE),Waterline Twenty (IRE),Indian Danehill,K Nicholson Partners,Tracked leader - led over 1f out - headed last 75yds - rallied - just held(tchd 5/2)
2015-04-29,Canterbury Park (AUS),625482,4:45,More Than Ready @ Vinery Plate (Maiden) (3yo) (Turf),Flat,,,,3yo,,1m1½f,Good To Soft,9,12.0,9,6.0,8,1.5,Seeking Redemption (AUS),3,F,8-5,b,2:3.57,70/1,Winona Costin,Gregory Hickman,235.6,–,–,–,Time Thief (AUS),Lady Gretchen (NZ),Don Eduardo,Miss J J Hickman R S Balding Et Al,
2015-04-29,Pontefract,623031,5:20,Go Racing In Yorkshire Future Stars Apprentice Handicap (Round 3),Flat,Class 5,,0-70,4yo+,,5f,Good To Firm,11,8.0,5,6.0,2.25,1,Captain Scooby (GB),9,G,8-6,b,1:3.88,25/1,Josh Quinn,Richard Guest,,60,60,33,Captain Rio (GB),Scooby Dooby Do GB,Atraf,Available For Sale Or Lease,Mid-division - headway on outer over 1f out - staying on at finish
2015-04-29,Pontefract,623031,5:20,Go Racing In Yorkshire Future Stars Apprentice Handicap (Round 3),Flat,Class 5,,0-70,4yo+,,5f,Good To Firm,11,5.0,7,4.0,2.5,0.05,ChocAMoca (IRE),8,G,8-13,v,1:3.94,14/1,Rachel Richardson,Paul Midgley,,62,61,34,Camacho (GB),Dear Catch (IRE),Bluebird,John Milburn   Andrew Stephenson,Tracked leaders - kept on same pace last 150yds(op 11/1 tchd 10/1)
2015-04-29,Pontefract,623031,5:20,Go Racing In Yorkshire Future Stars Apprentice Handicap (Round 3),Flat,Class 5,,0-70,4yo+,,5f,Good To Firm,11,7.0,8,8.0,3,0.5,Narborough (GB),4,G,8-6,,1:4.03,14/1,Paddy Pilley,Mick Channon,,60,57,30,Winker Watson (GB),Solmorin GB,Fraam,M Channon,Tracked leaders - took keen hold - one pace final furlong(tchd 12/1)
