label,total_cands,n,wins,sr,fr,pl,roi,avg_sp,avg_vp,max_drawdown,longest_losing_run,lane_state,status,freeze,threshold_msg,run_ts
V1_BASE,27,27,10,37.04,85.19,3.11,11.52,2.954,0.386,-8.52,6,WATCHLIST,WATCHLIST,False,→ SHADOW_CANDIDATE: needs +23 results,2026-04-29 22:21 UTC
V2_CLASS4_ONLY,17,17,7,41.18,82.35,5.13,30.18,3.038,0.379,-5.75,4,LANE_ACTIVE,SHADOW_BUILDING,False,→ WATCHLIST: needs +3 results,2026-04-29 22:21 UTC
V6_GOLD_SEAM,5,5,3,60.0,100.0,5.75,115.0,3.474,0.392,-1.0,1,LOW_SAMPLE,LOW_SAMPLE,False,→ SHADOW_CANDIDATE: needs +15 results,2026-04-29 22:21 UTC
