label,total_cands,n,wins,sr,fr,pl,roi,avg_sp,avg_vp,max_drawdown,longest_losing_run,lane_state,status,freeze,threshold_msg,run_ts
V1_BASE,42,42,18,42.86,78.57,10.35,24.64,2.994,0.403,-8.52,6,WATCHLIST,WATCHLIST,False,→ SHADOW_CANDIDATE: needs +8 results,2026-06-07 20:49 UTC
V2_CLASS4_ONLY,32,32,15,46.88,75.0,12.37,38.66,3.051,0.405,-5.75,4,SHADOW_ROUTER_CANDIDATE,SHADOW_CANDIDATE,False,→ PAPER_EXECUTION: needs +28 results,2026-06-07 20:49 UTC
V6_GOLD_SEAM,15,15,6,40.0,66.67,6.25,41.67,3.441,0.421,-3.0,3,LANE_ACTIVE,SHADOW_BUILDING,False,→ SHADOW_CANDIDATE: needs +5 results,2026-06-07 20:49 UTC
