label,total_cands,n,wins,sr,fr,pl,roi,avg_sp,avg_vp,max_drawdown,longest_losing_run,lane_state,status,freeze,threshold_msg,run_ts
V1_BASE,36,36,15,41.67,80.56,9.49,26.36,3.038,0.391,-8.52,6,WATCHLIST,WATCHLIST,False,→ SHADOW_CANDIDATE: needs +14 results,2026-05-30 09:01 UTC
V2_CLASS4_ONLY,26,26,12,46.15,76.92,11.51,44.27,3.126,0.389,-5.75,4,WATCHLIST,WATCHLIST,False,→ SHADOW_CANDIDATE: needs +4 results,2026-05-30 09:01 UTC
V6_GOLD_SEAM,12,12,6,50.0,75.0,9.25,77.08,3.51,0.415,-3.0,3,LANE_ACTIVE,SHADOW_BUILDING,False,→ SHADOW_CANDIDATE: needs +8 results,2026-05-30 09:01 UTC
