label,total_cands,n,wins,sr,fr,pl,roi,avg_sp,avg_vp,max_drawdown,longest_losing_run,lane_state,status,freeze,threshold_msg,run_ts
V1_BASE,32,32,11,34.38,78.12,1.11,3.47,3.031,0.397,-8.52,6,WATCHLIST,WATCHLIST,False,→ SHADOW_CANDIDATE: needs +18 results,2026-05-17 18:33 UTC
V2_CLASS4_ONLY,22,22,8,36.36,72.73,3.13,14.23,3.132,0.398,-5.75,4,WATCHLIST,WATCHLIST,False,"→ SHADOW_CANDIDATE: needs +8 results, Frame≥75%",2026-05-17 18:33 UTC
V6_GOLD_SEAM,10,10,4,40.0,70.0,3.75,37.5,3.462,0.426,-3.0,3,LANE_ACTIVE,SHADOW_BUILDING,False,→ SHADOW_CANDIDATE: needs +10 results,2026-05-17 18:33 UTC
