feature,importance
field_size,0.2434848400303128
distance_fit_score,0.10925165980414904
or_vs_field,0.09659665616531454
going_fit_score,0.07689503767441386
trainer_timing_score,0.06834356942911642
runs_since_place,0.06558834173495987
quiet_run_score,0.04689724679532997
wgt_lbs,0.042935694540185566
or_num,0.039528755816269905
class_num,0.029998202888974278
course_fit_score,0.029135367305628594
draw_num,0.027534865739793614
mark_compression_score,0.0230835212666434
age_num,0.01726280945398113
setup_run_flag,0.016293518496167874
runs_since_win,0.015371141479839813
curr_or_minus_best_or,0.011881600525937034
draw_pct,0.011571030658891287
dist_f,0.009762688674104647
curr_or_minus_last_win_or,0.007895477952985945
going_code,0.003013931464119671
jockey_switch_intent,0.0029388942353482106
release_window_score,0.0029366373362149415
is_aw,0.0010789607830317372
cash_run_flag,0.0007195497482857658
