feature,importance
rpr_vs_field,0.4376868818134208
rpr_num,0.10285696537869768
log_sp,0.07941808969812025
or_num,0.05677776227024604
or_vs_field,0.04329265772955429
implied_prob,0.03723937642370096
sp_dec,0.034449810224790704
ts_num,0.033240241030628295
field_size,0.028844853426977665
class_num,0.024931133352989306
wgt_lbs,0.022182304247146838
sp_rank,0.021990786438741448
decoy_support_flag,0.011037616169314982
is_fav,0.008772809632502598
mark_compression_score,0.0071850635235106396
odds_contraction_score,0.006924782545987776
dist_f,0.006007160608019626
draw_pct,0.004381899987695388
odds_resilience_score,0.004014598339757063
age_num,0.0037087915513720733
curr_or_minus_best_or,0.0032896138221226758
distance_fit_score,0.003182178909816646
draw_num,0.003090503889496476
trainer_timing_score,0.00300131462496274
curr_or_minus_last_win_or,0.002347470563331524
is_aw,0.0017589163377694833
going_fit_score,0.0015257138818329456
going_code,0.0013036483574351248
course_fit_score,0.0012541887640050166
quiet_run_score,0.0010934648139695297
runs_since_mkt_support,0.0008961902087656578
runs_since_win,0.0007263782945184501
runs_since_place,0.0005685920483752123
jockey_switch_intent,0.0004870780900409341
release_window_score,0.00028441328296714225
cash_run_flag,0.0001280659531849526
setup_run_flag,0.00011868376423098644
